voteid,question,source,rank,rating,time,user_id,code
19,1,1,2,5,2017-05-06 05:09:32.042950,3,"public static KillArray(int[] IntAr){
  int a;
  for (i=0; i<IntAr.length; i++){
    
  }
  return a;
}"
20,1,0,4,2,2017-05-06 05:09:32.968480,3,"public static KillArray(int[] IntAr){
  int a;
  for (i=0; i<IntAr.length; i++){
    
  }
  return a;
}"
21,1,0,5,2,2017-05-06 05:09:37.392704,3,"public static KillArray(int[] IntAr){
  int a;
  for (i=0; i<IntAr.length; i++){
    
  }
  return a;
}"
22,1,0,3,2,2017-05-06 05:09:38.378411,3,"public static KillArray(int[] IntAr){
  int a;
  for (i=0; i<IntAr.length; i++){
    
  }
  return a;
}"
23,1,1,5,4,2017-05-06 05:09:40.135080,3,"public static KillArray(int[] IntAr){
  int a;
  for (i=0; i<IntAr.length; i++){
    
  }
  return a;
}"
24,1,1,1,4,2017-05-06 05:09:41.675058,3,"public static KillArray(int[] IntAr){
  int a;
  for (i=0; i<IntAr.length; i++){
    
  }
  return a;
}"
25,1,0,2,2,2017-05-06 05:09:42.926947,3,"public static KillArray(int[] IntAr){
  int a;
  for (i=0; i<IntAr.length; i++){
    
  }
  return a;
}"
26,1,0,1,2,2017-05-06 05:09:44.434728,3,"public static KillArray(int[] IntAr){
  int a;
  for (i=0; i<IntAr.length; i++){
    
  }
  return a;
}"
27,1,1,3,4,2017-05-06 05:09:51.023314,3,"public static KillArray(int[] IntAr){
  int a;
  for (i=0; i<IntAr.length; i++){
    
  }
  return a;
}"
28,1,1,2,2,2017-05-06 05:09:53.475647,3,"public static KillArray(int[] IntAr){
  int a;
  for (i=0; i<IntAr.length; i++){
    
  }
  return a;
}"
29,1,1,3,1,2017-05-06 05:09:54.418314,3,"public static KillArray(int[] IntAr){
  int a;
  for (i=0; i<IntAr.length; i++){
    
  }
  return a;
}"
30,1,1,4,2,2017-05-06 05:09:56.570345,3,"public static KillArray(int[] IntAr){
  int a;
  for (i=0; i<IntAr.length; i++){
    
  }
  return a;
}"
31,1,0,2,2,2017-05-06 05:09:57.842836,3,"public static KillArray(int[] IntAr){
  int a;
  for (i=0; i<IntAr.length; i++){
    
  }
  return a;
}"
32,2,1,5,3,2017-05-06 07:08:06.277184,5,"private double tax (Employee employee) {
    double salary = employee.getSalary();
    if (salary < 10000) {
        return salary * .02;
    } else {
        return salary * .05;
    }
}

private double tax(BusinessOwner businessOwner) {
    double profit = businessOwner.getProfit();
    return profit * .10;
}

private double tax(Veteran veteran) {
    return 0;
}"
33,2,1,1,2,2017-05-06 07:08:15.035333,5,"private double tax (Employee employee) {
    double salary = employee.getSalary();
    if (salary < 10000) {
        return salary * .02;
    } else {
        return salary * .05;
    }
}

private double tax(BusinessOwner businessOwner) {
    double profit = businessOwner.getProfit();
    return profit * .10;
}

private double tax(Veteran veteran) {
    return 0;
}"
34,2,0,4,1,2017-05-06 07:08:32.835324,5,"private double tax (Employee employee) {
    double salary = employee.getSalary();
    if (salary < 10000) {
        return salary * .02;
    } else {
        return salary * .05;
    }
}

private double tax(BusinessOwner businessOwner) {
    double profit = businessOwner.getProfit();
    return profit * .10;
}

private double tax(Veteran veteran) {
    return 0;
}"
35,2,0,2,1,2017-05-06 07:17:10.232409,5,"private double tax (Person person) {
    if (person instanceof Employee) {
        double salary = ((Employee) person).getSalary();
        if (salary > 10000) {
            return salary * 0.02;
        } else {
            return salary * 0.05;
        }
    } else if (person instanceof BusinessOwner) {
        double profit = ((BusinessOwner) person).getProfit();
        return profit * 0.1;
    } else {
        return 0;
    }
}"
36,2,1,5,1,2017-05-06 07:17:17.342833,5,"private double tax (Person person) {
    if (person instanceof Employee) {
        double salary = ((Employee) person).getSalary();
        if (salary > 10000) {
            return salary * 0.02;
        } else {
            return salary * 0.05;
        }
    } else if (person instanceof BusinessOwner) {
        double profit = ((BusinessOwner) person).getProfit();
        return profit * 0.1;
    } else {
        return 0;
    }
}"
37,2,1,1,3,2017-05-06 07:22:17.701981,5,"public double tax(Person person) {
        if (person instanceof Employee) {
            double salary = ((Employee) person).getSalary();
            if (salary > 10000) {
                return salary * 0.02;
            } else {
                return salary * 0.05;
            }
        } else if (person instanceof BusinessOwner) {
            double profit = ((BusinessOwner) person).getProfit();
            return profit * 0.1;
        } else {
          return 0;
        }    
    }"
38,2,1,2,1,2017-05-06 07:22:29.817625,5,"public double tax(Person person) {
        if (person instanceof Employee) {
            double salary = ((Employee) person).getSalary();
            if (salary > 10000) {
                return salary * 0.02;
            } else {
                return salary * 0.05;
            }
        } else if (person instanceof BusinessOwner) {
            double profit = ((BusinessOwner) person).getProfit();
            return profit * 0.1;
        } else {
          return 0;
        }    
    }"
39,2,1,4,2,2017-05-06 07:22:32.650825,5,"public double tax(Person person) {
        if (person instanceof Employee) {
            double salary = ((Employee) person).getSalary();
            if (salary > 10000) {
                return salary * 0.02;
            } else {
                return salary * 0.05;
            }
        } else if (person instanceof BusinessOwner) {
            double profit = ((BusinessOwner) person).getProfit();
            return profit * 0.1;
        } else {
          return 0;
        }    
    }"
40,2,0,4,3,2017-05-06 07:22:36.525082,5,"public double tax(Person person) {
        if (person instanceof Employee) {
            double salary = ((Employee) person).getSalary();
            if (salary > 10000) {
                return salary * 0.02;
            } else {
                return salary * 0.05;
            }
        } else if (person instanceof BusinessOwner) {
            double profit = ((BusinessOwner) person).getProfit();
            return profit * 0.1;
        } else {
          return 0;
        }    
    }"
41,2,0,5,2,2017-05-06 07:22:52.145865,5,"public double tax(Person person) {
        if (person instanceof Employee) {
            double salary = ((Employee) person).getSalary();
            if (salary > 10000) {
                return salary * 0.02;
            } else {
                return salary * 0.05;
            }
        } else if (person instanceof BusinessOwner) {
            double profit = ((BusinessOwner) person).getProfit();
            return profit * 0.1;
        } else {
          return 0;
        }    
    }"
42,2,0,2,2,2017-05-06 07:26:26.124159,5,"public double tax(Person person) {
        if (person instanceof Employee) {
            double salary = ((Employee) person).getSalary();
            if (salary > 10000) {
                return salary * 0.02;
            } else {
                return salary * 0.05;
            }
        } else if (person instanceof BusinessOwner) {
            double profit = ((BusinessOwner) person).getProfit();
            return profit * 0.1;
        } else {
          return 0;
        }    
    }"
43,2,1,5,1,2017-05-06 07:26:28.259931,5,"public double tax(Person person) {
        if (person instanceof Employee) {
            double salary = ((Employee) person).getSalary();
            if (salary > 10000) {
                return salary * 0.02;
            } else {
                return salary * 0.05;
            }
        } else if (person instanceof BusinessOwner) {
            double profit = ((BusinessOwner) person).getProfit();
            return profit * 0.1;
        } else {
          return 0;
        }    
    }"
44,2,0,1,2,2017-05-06 07:26:36.443809,5,"public double tax(Person person) {
        if (person instanceof Employee) {
            double salary = ((Employee) person).getSalary();
            if (salary > 10000) {
                return salary * 0.02;
            } else {
                return salary * 0.05;
            }
        } else if (person instanceof BusinessOwner) {
            double profit = ((BusinessOwner) person).getProfit();
            return profit * 0.1;
        } else {
          return 0;
        }    
    }"
45,2,0,3,1,2017-05-06 07:26:40.499617,5,"public double tax(Person person) {
        if (person instanceof Employee) {
            double salary = ((Employee) person).getSalary();
            if (salary > 10000) {
                return salary * 0.02;
            } else {
                return salary * 0.05;
            }
        } else if (person instanceof BusinessOwner) {
            double profit = ((BusinessOwner) person).getProfit();
            return profit * 0.1;
        } else {
          return 0;
        }    
    }"
46,2,0,4,3,2017-05-06 07:27:33.040929,5,"public double tax(Person person) {
        if (person instanceof Employee) {
            double salary = ((Employee) person).getSalary();
            if (salary > 10000) {
                return salary * 0.02;
            } else {
                return salary * 0.05;
            }
        } else if (person instanceof BusinessOwner) {
            double profit = ((BusinessOwner) person).getProfit();
            return profit * 0.1;
        } else {
          return 0;
        }    
    }"
47,1,0,2,2,2017-05-06 07:42:58.354975,5,"int maxDifference(int array[]) {
  int maxDiff = array[1] - array[0];
  int min = array[0];
  int arrayLen = array.length;
  int i;
  for(i = 1; i < arrayLen; i++) {
    if (array[i] - min > maxDiff)
      maxDiff = array[i] - min;
    if (array[i] < min)
      min = array[i];
  }
  return maxDiff;
}"
48,1,1,4,1,2017-05-06 07:43:07.436799,5,"int maxDifference(int array[]) {
  int maxDiff = array[1] - array[0];
  int min = array[0];
  int arrayLen = array.length;
  int i;
  for(i = 1; i < arrayLen; i++) {
    if (array[i] - min > maxDiff)
      maxDiff = array[i] - min;
    if (array[i] < min)
      min = array[i];
  }
  return maxDiff;
}"
49,1,0,4,1,2017-05-06 07:43:21.831782,5,"int maxDifference(int array[]) {
  int maxDiff = array[1] - array[0];
  int min = array[0];
  int arrayLen = array.length;
  int i;
  for(i = 1; i < arrayLen; i++) {
    if (array[i] - min > maxDiff)
      maxDiff = array[i] - min;
    if (array[i] < min)
      min = array[i];
  }
  return maxDiff;
}"
50,1,1,2,3,2017-05-06 07:43:36.177081,5,"int maxDifference(int array[]) {
  int maxDiff = array[1] - array[0];
  int min = array[0];
  int arrayLen = array.length;
  int i;
  for(i = 1; i < arrayLen; i++) {
    if (array[i] - min > maxDiff)
      maxDiff = array[i] - min;
    if (array[i] < min)
      min = array[i];
  }
  return maxDiff;
}"
51,1,1,1,4,2017-05-06 07:43:44.518269,5,"int maxDifference(int array[]) {
  int maxDiff = array[1] - array[0];
  int min = array[0];
  int arrayLen = array.length;
  int i;
  for(i = 1; i < arrayLen; i++) {
    if (array[i] - min > maxDiff)
      maxDiff = array[i] - min;
    if (array[i] < min)
      min = array[i];
  }
  return maxDiff;
}"
52,1,0,3,1,2017-05-06 07:44:04.052485,5,"public static int maxDifference(int array[]) {
  int maxDiff = array[1] - array[0];
  int min = array[0];
  int arrayLen = array.length;
  int i;
  for(i = 1; i < arrayLen; i++) {
    if (array[i] - min > maxDiff)
      maxDiff = array[i] - min;
    if (array[i] < min)
      min = array[i];
  }
  return maxDiff;
}"
53,1,1,3,3,2017-05-06 07:44:08.091432,5,"public static int maxDifference(int array[]) {
  int maxDiff = array[1] - array[0];
  int min = array[0];
  int arrayLen = array.length;
  int i;
  for(i = 1; i < arrayLen; i++) {
    if (array[i] - min > maxDiff)
      maxDiff = array[i] - min;
    if (array[i] < min)
      min = array[i];
  }
  return maxDiff;
}"
54,1,1,5,5,2017-05-06 07:44:14.831131,5,"public static int maxDifference(int array[]) {
  int maxDiff = array[1] - array[0];
  int min = array[0];
  int arrayLen = array.length;
  int i;
  for(i = 1; i < arrayLen; i++) {
    if (array[i] - min > maxDiff)
      maxDiff = array[i] - min;
    if (array[i] < min)
      min = array[i];
  }
  return maxDiff;
}"
55,1,0,2,2,2017-05-06 07:44:17.373849,5,"public static int maxDifference(int array[]) {
  int maxDiff = array[1] - array[0];
  int min = array[0];
  int arrayLen = array.length;
  int i;
  for(i = 1; i < arrayLen; i++) {
    if (array[i] - min > maxDiff)
      maxDiff = array[i] - min;
    if (array[i] < min)
      min = array[i];
  }
  return maxDiff;
}"
56,1,0,1,1,2017-05-06 07:44:19.681443,5,"public static int maxDifference(int array[]) {
  int maxDiff = array[1] - array[0];
  int min = array[0];
  int arrayLen = array.length;
  int i;
  for(i = 1; i < arrayLen; i++) {
    if (array[i] - min > maxDiff)
      maxDiff = array[i] - min;
    if (array[i] < min)
      min = array[i];
  }
  return maxDiff;
}"
57,1,0,5,1,2017-05-06 07:44:21.725421,5,"public static int maxDifference(int array[]) {
  int maxDiff = array[1] - array[0];
  int min = array[0];
  int arrayLen = array.length;
  int i;
  for(i = 1; i < arrayLen; i++) {
    if (array[i] - min > maxDiff)
      maxDiff = array[i] - min;
    if (array[i] < min)
      min = array[i];
  }
  return maxDiff;
}"
58,1,1,2,2,2017-05-06 07:44:49.204008,5,"public static int maxDifference(int array[]) {
  int maxDiff = array[1] - array[0];
  int min = array[0];
  int arrayLen = array.length;
  int i;
  for(i = 1; i < arrayLen; i++) {
    if (array[i] - min > maxDiff)
      maxDiff = array[i] - min;
    if (array[i] < min)
      min = array[i];
  }
  return maxDiff;
}"
59,1,1,4,4,2017-05-06 07:44:57.128938,5,"public static int maxDifference(int array[]) {
  int maxDiff = array[1] - array[0];
  int min = array[0];
  int arrayLen = array.length;
  int i;
  for(i = 1; i < arrayLen; i++) {
    if (array[i] - min > maxDiff)
      maxDiff = array[i] - min;
    if (array[i] < min)
      min = array[i];
  }
  return maxDiff;
}"
60,1,1,3,5,2017-05-06 07:45:02.991725,5,"public static int maxDifference(int array[]) {
  int maxDiff = array[1] - array[0];
  int min = array[0];
  int arrayLen = array.length;
  int i;
  for(i = 1; i < arrayLen; i++) {
    if (array[i] - min > maxDiff)
      maxDiff = array[i] - min;
    if (array[i] < min)
      min = array[i];
  }
  return maxDiff;
}"
61,1,1,5,4,2017-05-06 07:45:05.363907,5,"public static int maxDifference(int array[]) {
  int maxDiff = array[1] - array[0];
  int min = array[0];
  int arrayLen = array.length;
  int i;
  for(i = 1; i < arrayLen; i++) {
    if (array[i] - min > maxDiff)
      maxDiff = array[i] - min;
    if (array[i] < min)
      min = array[i];
  }
  return maxDiff;
}"
62,1,0,1,1,2017-05-06 07:45:06.646777,5,"public static int maxDifference(int array[]) {
  int maxDiff = array[1] - array[0];
  int min = array[0];
  int arrayLen = array.length;
  int i;
  for(i = 1; i < arrayLen; i++) {
    if (array[i] - min > maxDiff)
      maxDiff = array[i] - min;
    if (array[i] < min)
      min = array[i];
  }
  return maxDiff;
}"
63,1,0,4,1,2017-05-06 07:45:08.048528,5,"public static int maxDifference(int array[]) {
  int maxDiff = array[1] - array[0];
  int min = array[0];
  int arrayLen = array.length;
  int i;
  for(i = 1; i < arrayLen; i++) {
    if (array[i] - min > maxDiff)
      maxDiff = array[i] - min;
    if (array[i] < min)
      min = array[i];
  }
  return maxDiff;
}"
64,1,0,2,1,2017-05-06 07:45:08.879711,5,"public static int maxDifference(int array[]) {
  int maxDiff = array[1] - array[0];
  int min = array[0];
  int arrayLen = array.length;
  int i;
  for(i = 1; i < arrayLen; i++) {
    if (array[i] - min > maxDiff)
      maxDiff = array[i] - min;
    if (array[i] < min)
      min = array[i];
  }
  return maxDiff;
}"
65,1,0,3,1,2017-05-06 07:45:11.158941,5,"public static int maxDifference(int array[]) {
  int maxDiff = array[1] - array[0];
  int min = array[0];
  int arrayLen = array.length;
  int i;
  for(i = 1; i < arrayLen; i++) {
    if (array[i] - min > maxDiff)
      maxDiff = array[i] - min;
    if (array[i] < min)
      min = array[i];
  }
  return maxDiff;
}"
66,1,0,5,1,2017-05-06 07:45:11.981177,5,"public static int maxDifference(int array[]) {
  int maxDiff = array[1] - array[0];
  int min = array[0];
  int arrayLen = array.length;
  int i;
  for(i = 1; i < arrayLen; i++) {
    if (array[i] - min > maxDiff)
      maxDiff = array[i] - min;
    if (array[i] < min)
      min = array[i];
  }
  return maxDiff;
}"
67,1,0,5,2,2017-05-06 07:45:25.170584,5,"public static int maxDifference(int array[]) {
  int maxDiff = array[1] - array[0];
  int min = array[0];
  int arrayLen = array.length;
  int i;
  for(i = 1; i < arrayLen; i++) {
    if (array[i] - min > maxDiff)
      maxDiff = array[i] - min;
    if (array[i] < min)
      min = array[i];
  }
  return maxDiff;
}"
68,1,1,4,4,2017-05-06 07:45:29.436835,5,"public static int maxDifference(int array[]) {
  int maxDiff = array[1] - array[0];
  int min = array[0];
  int arrayLen = array.length;
  int i;
  for(i = 1; i < arrayLen; i++) {
    if (array[i] - min > maxDiff)
      maxDiff = array[i] - min;
    if (array[i] < min)
      min = array[i];
  }
  return maxDiff;
}"
69,1,0,2,1,2017-05-06 07:45:31.440782,5,"public static int maxDifference(int array[]) {
  int maxDiff = array[1] - array[0];
  int min = array[0];
  int arrayLen = array.length;
  int i;
  for(i = 1; i < arrayLen; i++) {
    if (array[i] - min > maxDiff)
      maxDiff = array[i] - min;
    if (array[i] < min)
      min = array[i];
  }
  return maxDiff;
}"
70,1,1,3,3,2017-05-06 07:45:33.363397,5,"public static int maxDifference(int array[]) {
  int maxDiff = array[1] - array[0];
  int min = array[0];
  int arrayLen = array.length;
  int i;
  for(i = 1; i < arrayLen; i++) {
    if (array[i] - min > maxDiff)
      maxDiff = array[i] - min;
    if (array[i] < min)
      min = array[i];
  }
  return maxDiff;
}"
71,1,1,1,4,2017-05-06 07:45:37.175583,5,"public static int maxDifference(int array[]) {
  int maxDiff = array[1] - array[0];
  int min = array[0];
  int arrayLen = array.length;
  int i;
  for(i = 1; i < arrayLen; i++) {
    if (array[i] - min > maxDiff)
      maxDiff = array[i] - min;
    if (array[i] < min)
      min = array[i];
  }
  return maxDiff;
}"
72,1,1,5,2,2017-05-06 07:45:38.424406,5,"public static int maxDifference(int array[]) {
  int maxDiff = array[1] - array[0];
  int min = array[0];
  int arrayLen = array.length;
  int i;
  for(i = 1; i < arrayLen; i++) {
    if (array[i] - min > maxDiff)
      maxDiff = array[i] - min;
    if (array[i] < min)
      min = array[i];
  }
  return maxDiff;
}"
73,1,0,4,3,2017-05-06 19:47:37.248211,16,"//method takes in an argument of type int array
//the highest value and lowest value are derived from the array
//next the absolute value of the difference 
//between max and min is computed
public int largestDifference(int[] values){
  int min;
  int max;
  for(int i=0;i<values.length;i++){
    
  }
}"
74,1,0,1,4,2017-05-06 19:47:48.465998,16,"//method takes in an argument of type int array
//the highest value and lowest value are derived from the array
//next the absolute value of the difference 
//between max and min is computed
public int largestDifference(int[] values){
  int min;
  int max;
  for(int i=0;i<values.length;i++){
    
  }
}"
75,1,1,5,1,2017-05-06 19:48:32.574459,16,"//method takes in an argument of type int array
//the highest value and lowest value are derived from the array
//next the absolute value of the difference 
//between max and min is computed
public int largestDifference(int[] values){
  int min;
  int max;
  for(int i=0;i<values.length;i++){
    
  }
}"
76,1,1,4,3,2017-05-06 19:48:39.626422,16,"//method takes in an argument of type int array
//the highest value and lowest value are derived from the array
//next the absolute value of the difference 
//between max and min is computed
public int largestDifference(int[] values){
  int min;
  int max;
  for(int i=0;i<values.length;i++){
    
  }
}"
77,1,1,2,1,2017-05-06 19:48:55.709069,16,"//method takes in an argument of type int array
//the highest value and lowest value are derived from the array
//next the absolute value of the difference 
//between max and min is computed
public int largestDifference(int[] values){
  int min;
  int max;
  for(int i=0;i<values.length;i++){
    
  }
}"
78,1,0,2,1,2017-05-06 19:49:09.252459,16,"//method takes in an argument of type int array
//the highest value and lowest value are derived from the array
//next the absolute value of the difference 
//between max and min is computed
public int largestDifference(int[] values){
  int min;
  int max;
  for(int i=0;i<values.length;i++){
    
  }
}"
79,1,1,3,1,2017-05-06 19:49:13.367082,16,"//method takes in an argument of type int array
//the highest value and lowest value are derived from the array
//next the absolute value of the difference 
//between max and min is computed
public int largestDifference(int[] values){
  int min;
  int max;
  for(int i=0;i<values.length;i++){
    
  }
}"
80,1,0,3,1,2017-05-06 19:49:23.137191,16,"//method takes in an argument of type int array
//the highest value and lowest value are derived from the array
//next the absolute value of the difference 
//between max and min is computed
public int largestDifference(int[] values){
  int min;
  int max;
  for(int i=0;i<values.length;i++){
    
  }
}"
81,1,0,4,3,2017-05-06 19:49:38.043222,16,"//method takes in an argument of type int array
//the highest value and lowest value are derived from the array
//next the absolute value of the difference 
//between max and min is computed
public int largestDifference(int[] values){
  int min;
  int max;
  for(int i=0;i<values.length;i++){
    
  }
}"
82,1,1,2,1,2017-05-06 19:49:40.995278,16,"//method takes in an argument of type int array
//the highest value and lowest value are derived from the array
//next the absolute value of the difference 
//between max and min is computed
public int largestDifference(int[] values){
  int min;
  int max;
  for(int i=0;i<values.length;i++){
    
  }
}"
83,1,0,2,1,2017-05-06 19:49:43.189139,16,"//method takes in an argument of type int array
//the highest value and lowest value are derived from the array
//next the absolute value of the difference 
//between max and min is computed
public int largestDifference(int[] values){
  int min;
  int max;
  for(int i=0;i<values.length;i++){
    
  }
}"
84,1,1,4,4,2017-05-06 19:49:51.657937,16,"//method takes in an argument of type int array
//the highest value and lowest value are derived from the array
//next the absolute value of the difference 
//between max and min is computed
public int largestDifference(int[] values){
  int min;
  int max;
  for(int i=0;i<values.length;i++){
    
  }
}"
85,1,0,3,1,2017-05-06 19:49:53.852702,16,"//method takes in an argument of type int array
//the highest value and lowest value are derived from the array
//next the absolute value of the difference 
//between max and min is computed
public int largestDifference(int[] values){
  int min;
  int max;
  for(int i=0;i<values.length;i++){
    
  }
}"
86,1,1,5,1,2017-05-06 19:49:57.037288,16,"//method takes in an argument of type int array
//the highest value and lowest value are derived from the array
//next the absolute value of the difference 
//between max and min is computed
public int largestDifference(int[] values){
  int min;
  int max;
  for(int i=0;i<values.length;i++){
    
  }
}"
87,1,0,1,3,2017-05-06 19:50:04.883031,16,"//method takes in an argument of type int array
//the highest value and lowest value are derived from the array
//next the absolute value of the difference 
//between max and min is computed
public int largestDifference(int[] values){
  int min;
  int max;
  for(int i=0;i<values.length;i++){
    
  }
}"
88,2,1,2,1,2017-05-06 19:56:57.368016,16,"public int getTax(Person p){
  if(p instanceof BusinessOwner){
    
  }
}"
89,2,0,1,1,2017-05-06 19:57:12.948155,16,"public int getTax(Person p){
  if(p instanceof BusinessOwner){
    
  }
}"
90,2,0,2,1,2017-05-06 19:57:15.660544,16,"public int getTax(Person p){
  if(p instanceof BusinessOwner){
    
  }
}"
91,2,1,3,1,2017-05-06 19:57:16.890613,16,"public int getTax(Person p){
  if(p instanceof BusinessOwner){
    
  }
}"
92,2,0,4,1,2017-05-06 19:57:19.891273,16,"public int getTax(Person p){
  if(p instanceof BusinessOwner){
    
  }
}"
93,2,1,5,1,2017-05-06 19:57:29.512888,16,"public int getTax(Person p){
  if(p instanceof BusinessOwner){
    
  }
}"
94,2,0,3,1,2017-05-06 19:57:37.414585,16,"public int getTax(Person p){
  if(p instanceof BusinessOwner){
    
  }
}"
95,2,1,1,1,2017-05-06 19:57:38.365825,16,"public int getTax(Person p){
  if(p instanceof BusinessOwner){
    
  }
}"
96,2,0,5,1,2017-05-06 20:01:23.818892,16,"public int getTax(Person p){
  if(p instanceof BusinessOwner){
    return p.getProfit * .1;
  } else if (p instanceof Employee){
    if(p.getSalary() < 10000){
      return p.getSalary() * .02;
    } else {
      return p.getSalary() * .05;
    }
  } else if (p instanceof Veteran){
    return 0;
  } else {
    return null; //or maybe -1
  }
}"
97,2,1,3,1,2017-05-06 20:01:27.958333,16,"public int getTax(Person p){
  if(p instanceof BusinessOwner){
    return p.getProfit * .1;
  } else if (p instanceof Employee){
    if(p.getSalary() < 10000){
      return p.getSalary() * .02;
    } else {
      return p.getSalary() * .05;
    }
  } else if (p instanceof Veteran){
    return 0;
  } else {
    return null; //or maybe -1
  }
}"
98,2,1,4,1,2017-05-06 20:01:30.571835,16,"public int getTax(Person p){
  if(p instanceof BusinessOwner){
    return p.getProfit * .1;
  } else if (p instanceof Employee){
    if(p.getSalary() < 10000){
      return p.getSalary() * .02;
    } else {
      return p.getSalary() * .05;
    }
  } else if (p instanceof Veteran){
    return 0;
  } else {
    return null; //or maybe -1
  }
}"
99,2,1,2,1,2017-05-06 20:01:32.774149,16,"public int getTax(Person p){
  if(p instanceof BusinessOwner){
    return p.getProfit * .1;
  } else if (p instanceof Employee){
    if(p.getSalary() < 10000){
      return p.getSalary() * .02;
    } else {
      return p.getSalary() * .05;
    }
  } else if (p instanceof Veteran){
    return 0;
  } else {
    return null; //or maybe -1
  }
}"
