#,Rank,Sample_Concepts,IR_Reco_concepts,Tags_Reco_concepts,IR-Tags,Tags-IR,IR_Reco_count,Tags_Reco_count,IR-Tags-Count,Tags-IR-Count,IR-Coverage,Tags-Coverage
10,2,"['SimpleVariable', 'ObjectVariable']","['SimpleVariable', 'ObjectVariable']","['SimpleVariable', 'ObjectVariable']",[],[],2,2,0,0,1.0,1.0
11,3,"['SimpleVariable', 'ObjectVariable']","['SimpleVariable', 'ObjectVariable']","['SimpleVariable', 'ObjectVariable']",[],[],2,2,0,0,1.0,1.0
12,1,"['SimpleVariable', 'SimpleAssignmentExpression', 'ThisReference', 'InstanceFieldInvocation', 'IntDataType', 'ObjectVariable']","['InstanceFieldInvocation', 'ActualMethodParameter', 'SimpleAssignmentExpression', 'ThisReference']","['SimpleVariable', 'SimpleAssignmentExpression', 'ThisReference', 'InstanceFieldInvocation', 'IntDataType', 'ObjectVariable']",['ActualMethodParameter'],"['ObjectVariable', 'IntDataType', 'SimpleVariable']",4,6,1,3,0.5,1.0
13,2,"['SimpleVariable', 'SimpleAssignmentExpression', 'ThisReference', 'InstanceFieldInvocation', 'IntDataType', 'ObjectVariable']","['SimpleVariable', 'InstanceFieldInvocation', 'IntDataType', 'SimpleAssignmentExpression', 'ThisReference']","['SimpleVariable', 'SimpleAssignmentExpression', 'ThisReference', 'InstanceFieldInvocation', 'IntDataType', 'ObjectVariable']",[],['ObjectVariable'],5,6,0,1,0.8333333333333334,1.0
14,3,"['SimpleVariable', 'SimpleAssignmentExpression', 'ThisReference', 'InstanceFieldInvocation', 'IntDataType', 'ObjectVariable']","['SimpleVariable', 'InstanceFieldInvocation', 'IntDataType', 'SimpleAssignmentExpression', 'ThisReference']","['SimpleVariable', 'SimpleAssignmentExpression', 'ThisReference', 'InstanceFieldInvocation', 'IntDataType', 'ObjectVariable']",[],['ObjectVariable'],5,6,0,1,0.8333333333333334,1.0
15,1,"['SimpleVariable', 'ObjectMethodInvocation', 'ActualMethodParameter', 'SimpleAssignmentExpression', 'IntDataType', 'ObjectVariable']","['SimpleVariable', 'ObjectMethodInvocation', 'ActualMethodParameter', 'SimpleAssignmentExpression', 'IntDataType', 'ObjectVariable']","['ObjectMethodInvocation', 'ActualMethodParameter', 'SimpleAssignmentExpression']","['ObjectVariable', 'IntDataType', 'SimpleVariable']",[],6,3,3,0,1.0,0.5
16,2,"['SimpleVariable', 'ObjectMethodInvocation', 'ActualMethodParameter', 'SimpleAssignmentExpression', 'IntDataType', 'ObjectVariable']","['ClassDefinition', 'PublicClassSpecifier', 'MethodDefinition', 'VoidDataType', 'PublicMethodSpecifier']","['SimpleVariable', 'ObjectMethodInvocation', 'ActualMethodParameter', 'IfElseIfStatement', 'AndExpression', 'ConstantInvocation', 'null', 'SimpleAssignmentExpression', 'NotEqualExpression', 'EqualExpression', 'IfElseStatement', 'IfStatement', 'ObjectVariable']","['PublicClassSpecifier', 'PublicMethodSpecifier', 'VoidDataType', 'MethodDefinition', 'ClassDefinition']","['SimpleAssignmentExpression', 'EqualExpression', 'SimpleVariable', 'IfStatement', 'null', 'ActualMethodParameter', 'ConstantInvocation', 'ObjectVariable', 'IfElseIfStatement', 'ObjectMethodInvocation', 'IfElseStatement', 'AndExpression', 'NotEqualExpression']",5,13,5,13,0.0,0.8333333333333334
17,3,"['SimpleVariable', 'ObjectMethodInvocation', 'ActualMethodParameter', 'SimpleAssignmentExpression', 'IntDataType', 'ObjectVariable']","['ClassDefinition', 'PublicClassSpecifier', 'MethodDefinition', 'VoidDataType', 'PublicMethodSpecifier']","['SimpleVariable', 'ObjectMethodInvocation', 'ActualMethodParameter', 'SimpleAssignmentExpression', 'java.lang.Object', 'IntDataType', 'ObjectVariable']","['PublicClassSpecifier', 'PublicMethodSpecifier', 'VoidDataType', 'MethodDefinition', 'ClassDefinition']","['SimpleAssignmentExpression', 'SimpleVariable', 'ActualMethodParameter', 'IntDataType', 'ObjectVariable', 'ObjectMethodInvocation', 'java.lang.Object']",5,7,5,7,0.0,1.0
18,1,['ReturnStatement'],['ReturnStatement'],['ReturnStatement'],[],[],1,1,0,0,1.0,1.0
19,2,['ReturnStatement'],['ReturnStatement'],['ReturnStatement'],[],[],1,1,0,0,1.0,1.0
20,3,['ReturnStatement'],['ReturnStatement'],['ReturnStatement'],[],[],1,1,0,0,1.0,1.0
21,1,"['SimpleVariable', 'ArrayDataType']","['SimpleVariable', 'ArrayDataType']","['SimpleVariable', 'ArrayDataType']",[],[],2,2,0,0,1.0,1.0
22,2,"['SimpleVariable', 'ArrayDataType']","['SimpleVariable', 'ArrayDataType']","['SimpleVariable', 'ArrayDataType']",[],[],2,2,0,0,1.0,1.0
23,3,"['SimpleVariable', 'ArrayDataType']",['SimpleVariable'],"['SimpleVariable', 'ArrayDataType']",[],['ArrayDataType'],1,2,0,1,0.5,1.0
24,1,"['SimpleVariable', 'SimpleAssignmentExpression', 'ThisReference', 'InstanceFieldInvocation', 'ReturnStatement', 'ObjectVariable']","['ObjectMethodInvocation', 'ActualMethodParameter', 'ReturnStatement']","['InstanceFieldInvocation', 'SimpleVariable', 'ObjectVariable', 'SimpleAssignmentExpression', 'ThisReference']","['ObjectMethodInvocation', 'ReturnStatement', 'ActualMethodParameter']","['ThisReference', 'SimpleAssignmentExpression', 'InstanceFieldInvocation', 'SimpleVariable', 'ObjectVariable']",3,5,3,5,0.16666666666666666,0.8333333333333334
25,2,"['SimpleVariable', 'SimpleAssignmentExpression', 'ThisReference', 'InstanceFieldInvocation', 'ReturnStatement', 'ObjectVariable']",['ReturnStatement'],"['InstanceFieldInvocation', 'SimpleVariable', 'ObjectVariable', 'SimpleAssignmentExpression', 'ThisReference']",['ReturnStatement'],"['ThisReference', 'SimpleAssignmentExpression', 'InstanceFieldInvocation', 'SimpleVariable', 'ObjectVariable']",1,5,1,5,0.16666666666666666,0.8333333333333334
26,3,"['SimpleVariable', 'SimpleAssignmentExpression', 'ThisReference', 'InstanceFieldInvocation', 'ReturnStatement', 'ObjectVariable']",['ReturnStatement'],"['InstanceFieldInvocation', 'SimpleVariable', 'ObjectVariable', 'SimpleAssignmentExpression', 'ThisReference']",['ReturnStatement'],"['ThisReference', 'SimpleAssignmentExpression', 'InstanceFieldInvocation', 'SimpleVariable', 'ObjectVariable']",1,5,1,5,0.16666666666666666,0.8333333333333334
27,1,"['SimpleVariable', 'SimpleAssignmentExpression', 'ThisReference', 'InstanceFieldInvocation', 'IntDataType', 'ObjectVariable']","['InstanceFieldInvocation', 'ActualMethodParameter', 'SimpleAssignmentExpression', 'ThisReference']","['SimpleVariable', 'SimpleAssignmentExpression', 'ThisReference', 'InstanceFieldInvocation', 'IntDataType', 'ObjectVariable']",['ActualMethodParameter'],"['ObjectVariable', 'IntDataType', 'SimpleVariable']",4,6,1,3,0.5,1.0
28,2,"['SimpleVariable', 'SimpleAssignmentExpression', 'ThisReference', 'InstanceFieldInvocation', 'IntDataType', 'ObjectVariable']","['InstanceFieldInvocation', 'ActualMethodParameter', 'SimpleAssignmentExpression', 'ThisReference']","['SimpleVariable', 'SimpleAssignmentExpression', 'ThisReference', 'InstanceFieldInvocation', 'IntDataType', 'ObjectVariable']",['ActualMethodParameter'],"['ObjectVariable', 'IntDataType', 'SimpleVariable']",4,6,1,3,0.5,1.0
29,3,"['SimpleVariable', 'SimpleAssignmentExpression', 'ThisReference', 'InstanceFieldInvocation', 'IntDataType', 'ObjectVariable']","['InstanceFieldInvocation', 'ActualMethodParameter', 'SimpleAssignmentExpression', 'ThisReference']","['SimpleVariable', 'SimpleAssignmentExpression', 'ThisReference', 'InstanceFieldInvocation', 'IntDataType', 'ObjectVariable']",['ActualMethodParameter'],"['ObjectVariable', 'IntDataType', 'SimpleVariable']",4,6,1,3,0.5,1.0
30,1,"['ActualMethodParameter', 'SimpleVariable', 'SimpleAssignmentExpression', 'ThisReference', 'InstanceFieldInvocation', 'ConstructorCall', 'ObjectCreationStatement', 'ObjectVariable']","['ObjectMethodInvocation', 'ActualMethodParameter', 'StringLiteral', 'SimpleVariable', 'StringDataType', 'StringAddition', 'ConstructorCall', 'ObjectCreationStatement', 'ObjectVariable']","['SimpleVariable', 'ActualMethodParameter', 'SimpleAssignmentExpression', 'ConstructorCall', 'ObjectCreationStatement', 'ObjectVariable']","['StringDataType', 'StringAddition', 'StringLiteral', 'ObjectMethodInvocation']",['SimpleAssignmentExpression'],9,6,4,1,0.625,0.75
31,2,"['ActualMethodParameter', 'SimpleVariable', 'SimpleAssignmentExpression', 'ThisReference', 'InstanceFieldInvocation', 'ConstructorCall', 'ObjectCreationStatement', 'ObjectVariable']","['InstanceFieldInvocation', 'SimpleVariable', 'ObjectVariable', 'SimpleAssignmentExpression', 'ThisReference']","['ActualMethodParameter', 'SimpleAssignmentExpression', 'ThisReference', 'InstanceFieldInvocation', 'ConstructorCall', 'ObjectCreationStatement']","['SimpleVariable', 'ObjectVariable']","['ObjectCreationStatement', 'ConstructorCall', 'ActualMethodParameter']",5,6,2,3,0.625,0.75
32,3,"['ActualMethodParameter', 'SimpleVariable', 'SimpleAssignmentExpression', 'ThisReference', 'InstanceFieldInvocation', 'ConstructorCall', 'ObjectCreationStatement', 'ObjectVariable']","['ConstantInvocation', 'PostIncrementExpression', 'SimpleVariable', 'SimpleAssignmentExpression', 'ThisReference', 'InstanceFieldInvocation', 'EqualExpression', 'IfElseStatement', 'ObjectVariable']","['InstanceFieldInvocation', 'SimpleVariable', 'ObjectVariable', 'SimpleAssignmentExpression', 'ThisReference']","['IfElseStatement', 'PostIncrementExpression', 'EqualExpression', 'ConstantInvocation']",[],9,5,4,0,0.625,0.625
33,1,"['SimpleVariable', 'ObjectMethodInvocation', 'ActualMethodParameter', 'SimpleAssignmentExpression', 'IntDataType']","['SimpleVariable', 'ActualMethodParameter', 'IntDataType']","['WhileStatement', 'ActualMethodParameter', 'ObjectMethodInvocation', 'SimpleVariable', 'SimpleAssignmentExpression', 'AndExpression', 'IntDataType', 'GreaterExpression', 'SubtractExpression', 'ObjectVariable']",[],"['SimpleAssignmentExpression', 'WhileStatement', 'ObjectVariable', 'GreaterExpression', 'ObjectMethodInvocation', 'SubtractExpression', 'AndExpression']",3,10,0,7,0.6,1.0
34,2,"['SimpleVariable', 'ObjectMethodInvocation', 'ActualMethodParameter', 'SimpleAssignmentExpression', 'IntDataType']","['SimpleVariable', 'ObjectMethodInvocation', 'ActualMethodParameter', 'IntDataType']","['ObjectMethodInvocation', 'ArrayVariable', 'StringLiteral', 'SimpleAssignmentExpression', 'NotEqualExpression', 'ConstructorCall', 'GreaterExpression', 'java.lang.System.out.println', 'SimpleVariable', 'ActualMethodParameter', 'LessExpression', 'StringVariable', 'ArrayDataType', 'ArrayInitializationStatement', 'ArrayInitializer', 'StringDataType', 'ObjectCreationStatement']",['IntDataType'],"['SimpleAssignmentExpression', 'ConstructorCall', 'java.lang.System.out.println', 'ArrayVariable', 'StringDataType', 'ArrayInitializationStatement', 'ArrayInitializer', 'LessExpression', 'GreaterExpression', 'ObjectCreationStatement', 'StringVariable', 'StringLiteral', 'ArrayDataType', 'NotEqualExpression']",4,17,1,14,0.8,0.8
35,3,"['SimpleVariable', 'ObjectMethodInvocation', 'ActualMethodParameter', 'SimpleAssignmentExpression', 'IntDataType']","['SimpleVariable', 'ObjectMethodInvocation', 'ActualMethodParameter', 'IntDataType']","['ObjectMethodInvocation', 'ActualMethodParameter', 'StringDataType', 'SimpleVariable', 'StringLiteral', 'SimpleAssignmentExpression', 'ExplicitTypeCasting', 'ConstructorCall', 'ObjectCreationStatement', 'ObjectVariable']",['IntDataType'],"['SimpleAssignmentExpression', 'ConstructorCall', 'ExplicitTypeCasting', 'StringDataType', 'ObjectVariable', 'ObjectCreationStatement', 'StringLiteral']",4,10,1,7,0.8,0.8
36,1,"['SimpleVariable', 'ObjectMethodInvocation', 'ArrayDataType', 'ConstructorCall', 'ObjectCreationStatement', 'ObjectVariable']","['SimpleVariable', 'ObjectMethodInvocation', 'ObjectVariable']","['SimpleVariable', 'ArrayDataType', 'ObjectMethodInvocation', 'ConstructorCall', 'ObjectCreationStatement']",['ObjectVariable'],"['ObjectCreationStatement', 'ConstructorCall', 'ArrayDataType']",3,5,1,3,0.5,0.8333333333333334
37,2,"['SimpleVariable', 'ObjectMethodInvocation', 'ArrayDataType', 'ConstructorCall', 'ObjectCreationStatement', 'ObjectVariable']","['SimpleVariable', 'ObjectMethodInvocation', 'ObjectVariable']","['SimpleVariable', 'ArrayDataType', 'ObjectMethodInvocation', 'ConstructorCall', 'ObjectCreationStatement']",['ObjectVariable'],"['ObjectCreationStatement', 'ConstructorCall', 'ArrayDataType']",3,5,1,3,0.5,0.8333333333333334
38,3,"['SimpleVariable', 'ObjectMethodInvocation', 'ArrayDataType', 'ConstructorCall', 'ObjectCreationStatement', 'ObjectVariable']","['SimpleVariable', 'ObjectMethodInvocation', 'ObjectVariable']","['SimpleVariable', 'ArrayDataType', 'ObjectMethodInvocation', 'ConstructorCall', 'ObjectCreationStatement']",['ObjectVariable'],"['ObjectCreationStatement', 'ConstructorCall', 'ArrayDataType']",3,5,1,3,0.5,0.8333333333333334
39,1,"['ObjectMethodInvocation', 'ActualMethodParameter', 'StringVariable', 'IfStatement', 'ThrowStatement', 'ObjectCreationStatement', 'SimpleVariable', 'StringLiteral', 'SimpleAssignmentExpression', 'StringAddition', 'ObjectVariable', 'ConstructorCall', 'StringDataType', 'EqualExpression', 'IntDataType']","['SimpleVariable', 'StringDataType', 'StringVariable']","['SimpleVariable', 'ObjectMethodInvocation', 'ActualMethodParameter', 'StringVariable', 'IfStatement', 'ThrowStatement', 'ObjectCreationStatement', 'null', 'StringLiteral', 'SimpleAssignmentExpression', 'StringAddition', 'EqualExpression', 'StringDataType', 'ConstructorCall', 'ObjectVariable']",[],"['SimpleAssignmentExpression', 'ConstructorCall', 'EqualExpression', 'IfStatement', 'StringAddition', 'ThrowStatement', 'ActualMethodParameter', 'null', 'ObjectVariable', 'ObjectCreationStatement', 'ObjectMethodInvocation', 'StringLiteral']",3,15,0,12,0.2,0.9333333333333333
40,2,"['ObjectMethodInvocation', 'ActualMethodParameter', 'StringVariable', 'IfStatement', 'ThrowStatement', 'ObjectCreationStatement', 'SimpleVariable', 'StringLiteral', 'SimpleAssignmentExpression', 'StringAddition', 'ObjectVariable', 'ConstructorCall', 'StringDataType', 'EqualExpression', 'IntDataType']","['ObjectMethodInvocation', 'IfElseIfStatement', 'ThrowStatement', 'StringLiteral', 'SimpleAssignmentExpression', 'StringAddition', 'java.lang.String.equals', 'ConstructorCall', 'java.lang.System.out.println', 'ActualMethodParameter', 'java.lang.String.substring', 'StringVariable', 'SimpleVariable', 'StringDataType', 'IfStatement', 'IfElseStatement', 'ObjectCreationStatement']","['ObjectMethodInvocation', 'IfStatement', 'ThrowStatement', 'StringLiteral', 'SimpleAssignmentExpression', 'StringAddition', 'ConstructorCall', 'AddExpression', 'SimpleVariable', 'ActualMethodParameter', 'StringVariable', 'null', 'StringDataType', 'TryCatchStatement', 'EqualExpression', 'ObjectCreationStatement', 'ObjectVariable']","['java.lang.String.substring', 'IfElseStatement', 'java.lang.String.equals', 'java.lang.System.out.println', 'IfElseIfStatement']","['TryCatchStatement', 'ObjectVariable', 'null', 'EqualExpression', 'AddExpression']",17,17,5,5,0.8,0.9333333333333333
41,3,"['ObjectMethodInvocation', 'ActualMethodParameter', 'StringVariable', 'IfStatement', 'ThrowStatement', 'ObjectCreationStatement', 'SimpleVariable', 'StringLiteral', 'SimpleAssignmentExpression', 'StringAddition', 'ObjectVariable', 'ConstructorCall', 'StringDataType', 'EqualExpression', 'IntDataType']","['SimpleVariable', 'StringDataType', 'StringVariable']","['WhileStatement', 'IfStatement', 'ThrowStatement', 'ObjectMethodInvocation', 'StringLiteral', 'SimpleAssignmentExpression', 'NotEqualExpression', 'ConstructorCall', 'AddExpression', 'SimpleVariable', 'ActualMethodParameter', 'StringVariable', 'null', 'StringDataType', 'TryCatchStatement', 'EqualExpression', 'ObjectVariable', 'ObjectCreationStatement', 'StringAddition']",[],"['ConstructorCall', 'EqualExpression', 'IfStatement', 'ThrowStatement', 'WhileStatement', 'ObjectCreationStatement', 'ObjectMethodInvocation', 'StringLiteral', 'SimpleAssignmentExpression', 'AddExpression', 'StringAddition', 'ActualMethodParameter', 'null', 'TryCatchStatement', 'ObjectVariable', 'NotEqualExpression']",3,19,0,16,0.2,0.9333333333333333
42,2,"['CaseClause', 'StringVariable', 'SwitchStatement', 'StringDataType', 'SimpleVariable', 'StringLiteral', 'ReturnStatement', 'IntDataType']","['SimpleVariable', 'ObjectMethodInvocation', 'ActualMethodParameter', 'StringVariable', 'StringDataType', 'ReturnStatement', 'IntDataType']","['CaseClause', 'StringDataType', 'StringAddition', 'DefaultClause', 'SwitchStatement', 'StringLiteral', 'ReturnStatement']","['StringVariable', 'ObjectMethodInvocation', 'ActualMethodParameter', 'IntDataType', 'SimpleVariable']","['DefaultClause', 'CaseClause', 'StringAddition', 'StringLiteral', 'SwitchStatement']",7,7,5,5,0.625,0.625
43,3,"['CaseClause', 'StringVariable', 'SwitchStatement', 'StringDataType', 'SimpleVariable', 'StringLiteral', 'ReturnStatement', 'IntDataType']","['CaseClause', 'StringDataType', 'StringAddition', 'DefaultClause', 'SwitchStatement', 'StringLiteral', 'ReturnStatement']","['StringLiteral', 'StringDataType', 'ReturnStatement']","['DefaultClause', 'CaseClause', 'StringAddition', 'SwitchStatement']",[],7,3,4,0,0.625,0.375
44,1,['ReturnStatement'],['ReturnStatement'],['ReturnStatement'],[],[],1,1,0,0,1.0,1.0
45,2,['ReturnStatement'],['ReturnStatement'],['ReturnStatement'],[],[],1,1,0,0,1.0,1.0
46,3,['ReturnStatement'],['ReturnStatement'],['ReturnStatement'],[],[],1,1,0,0,1.0,1.0
47,1,[],"['SimpleVariable', 'ArrayDataType']","['SimpleVariable', 'ObjectMethodInvocation', 'ActualMethodParameter', 'DoubleDataType', 'IntDataType']",['ArrayDataType'],"['DoubleDataType', 'ActualMethodParameter', 'IntDataType', 'ObjectMethodInvocation']",2,5,1,4,0.0,0.0
48,2,[],"['SimpleVariable', 'ObjectVariable']","['WhileStatement', 'ActualMethodParameter', 'NotExpression', 'StringVariable', 'StringDataType', 'ObjectMethodInvocation', 'SimpleVariable', 'StringLiteral', 'SimpleAssignmentExpression', 'StringAddition', 'ForEachStatement', 'IfElseStatement', 'java.lang.System.out.println', 'AddExpression']",['ObjectVariable'],"['SimpleAssignmentExpression', 'java.lang.System.out.println', 'AddExpression', 'StringDataType', 'ForEachStatement', 'StringAddition', 'ActualMethodParameter', 'WhileStatement', 'NotExpression', 'StringVariable', 'ObjectMethodInvocation', 'IfElseStatement', 'StringLiteral']",2,14,1,13,0.0,0.0
49,3,[],"['SimpleVariable', 'ObjectVariable']","['ConstructorCall', 'ObjectCreationStatement']","['SimpleVariable', 'ObjectVariable']","['ObjectCreationStatement', 'ConstructorCall']",2,2,2,2,0.0,0.0
50,1,"['StringLiteral', 'StringDataType', 'StringAddition', 'ReturnStatement']","['StringLiteral', 'StringDataType', 'ReturnStatement', 'StringAddition']","['StringLiteral', 'StringDataType', 'ReturnStatement', 'StringAddition']",[],[],4,4,0,0,1.0,1.0
51,2,"['StringLiteral', 'StringDataType', 'StringAddition', 'ReturnStatement']","['StringLiteral', 'StringDataType', 'ReturnStatement', 'StringAddition']","['StringLiteral', 'StringDataType', 'ReturnStatement', 'StringAddition']",[],[],4,4,0,0,1.0,1.0
52,3,"['StringLiteral', 'StringDataType', 'StringAddition', 'ReturnStatement']","['StringLiteral', 'StringDataType', 'ReturnStatement', 'StringAddition']","['StringLiteral', 'StringDataType', 'ReturnStatement', 'StringAddition']",[],[],4,4,0,0,1.0,1.0
53,1,"['SimpleVariable', 'SimpleAssignmentExpression', 'java.lang.Object', 'InstanceFieldInvocation', 'IntDataType', 'ThisReference', 'ObjectVariable']","['ActualMethodParameter', 'SimpleAssignmentExpression']","['SimpleVariable', 'SimpleAssignmentExpression', 'ThisReference', 'InstanceFieldInvocation', 'IntDataType', 'ObjectVariable']",['ActualMethodParameter'],"['ThisReference', 'InstanceFieldInvocation', 'ObjectVariable', 'IntDataType', 'SimpleVariable']",2,6,1,5,0.14285714285714285,0.8571428571428571
