weightid,signature,structure,concepts,language,time,user_id,vote_id,code
23,0.5,1.0,4.0,0.0,2017-03-24 05:38:06.324359,2,,"double getTax(Person person) {
  if(person.class == Employee.class) {
    Employee employee = (Employee) person;
    if(employee.getSalary() < 10000) {
      return 0.02 * employee.getSalary();
    }
    
    return 0.05 * employee.getSalary();
  } else if(person.class == BusinessOwner.class) {
    BusinessOwner employee = (BusinessOwner) person;
    
    return 0.1 * employee.getProfit();
  }
  
  return 0;
}"
24,0.0,1.0,4.0,0.0,2017-03-24 05:38:08.580544,2,,"double getTax(Person person) {
  if(person.class == Employee.class) {
    Employee employee = (Employee) person;
    if(employee.getSalary() < 10000) {
      return 0.02 * employee.getSalary();
    }
    
    return 0.05 * employee.getSalary();
  } else if(person.class == BusinessOwner.class) {
    BusinessOwner employee = (BusinessOwner) person;
    
    return 0.1 * employee.getProfit();
  }
  
  return 0;
}"
25,0.0,0.0,4.0,0.0,2017-03-24 05:38:14.861986,2,,"double getTax(Person person) {
  if(person.class == Employee.class) {
    Employee employee = (Employee) person;
    if(employee.getSalary() < 10000) {
      return 0.02 * employee.getSalary();
    }
    
    return 0.05 * employee.getSalary();
  } else if(person.class == BusinessOwner.class) {
    BusinessOwner employee = (BusinessOwner) person;
    
    return 0.1 * employee.getProfit();
  }
  
  return 0;
}"
26,0.0,0.0,4.0,0.0,2017-03-24 05:38:26.793549,2,1,"{""qId"":2,""reco"":{""rank"":4,""source"":0,""text"":""@WorkInProgress\n@Task(description = \""Implement tax computations\"", targetDate = \""Jan 1, 2012\"", estimatedHours = 50, additionalNote = \""This implementation is critical for the final launch\"")\npublic static float ComputeTax(float amount, float rate) {\n    return 0;\n}\n"",""rating"":4},""code"":""double getTax(Person person) {\n  if(person.class == Employee.class) {\n    Employee employee = (Employee) person;\n    if(employee.getSalary() < 10000) {\n      return 0.02 * employee.getSalary();\n    }\n    \n    return 0.05 * employee.getSalary();\n  } else if(person.class == BusinessOwner.class) {\n    BusinessOwner employee = (BusinessOwner) person;\n    \n    return 0.1 * employee.getProfit();\n  }\n  \n  return 0;\n}""}"
27,0.0,0.0,4.0,0.0,2017-03-24 05:38:34.922050,2,2,"{""qId"":2,""reco"":{""rank"":5,""source"":0,""text"":""@WorkInProgress\n@Task(description = \""Implement tax computations\"", estimatedHours = 50, additionalNote = \""This implementation is critical for the final launch\"")\npublic static float ComputeTax(float amount, float rate) {\n    return 0;\n}\n"",""rating"":2},""code"":""double getTax(Person person) {\n  if(person.class == Employee.class) {\n    Employee employee = (Employee) person;\n    if(employee.getSalary() < 10000) {\n      return 0.02 * employee.getSalary();\n    }\n    \n    return 0.05 * employee.getSalary();\n  } else if(person.class == BusinessOwner.class) {\n    BusinessOwner employee = (BusinessOwner) person;\n    \n    return 0.1 * employee.getProfit();\n  }\n  \n  return 0;\n}""}"
28,0.0,0.0,4.0,0.0,2017-03-24 05:38:38.137973,2,3,"{""qId"":2,""reco"":{""rank"":5,""source"":0,""text"":""@WorkInProgress\n@Task(description = \""Implement tax computations\"", estimatedHours = 50, additionalNote = \""This implementation is critical for the final launch\"")\npublic static float ComputeTax(float amount, float rate) {\n    return 0;\n}\n"",""rating"":5},""code"":""double getTax(Person person) {\n  if(person.class == Employee.class) {\n    Employee employee = (Employee) person;\n    if(employee.getSalary() < 10000) {\n      return 0.02 * employee.getSalary();\n    }\n    \n    return 0.05 * employee.getSalary();\n  } else if(person.class == BusinessOwner.class) {\n    BusinessOwner employee = (BusinessOwner) person;\n    \n    return 0.1 * employee.getProfit();\n  }\n  \n  return 0;\n}""}"
29,0.0,0.0,4.0,0.0,2017-03-24 05:38:43.779918,2,4,"{""qId"":2,""reco"":{""rank"":5,""source"":0,""text"":""@WorkInProgress\n@Task(description = \""Implement tax computations\"", estimatedHours = 50, additionalNote = \""This implementation is critical for the final launch\"")\npublic static float ComputeTax(float amount, float rate) {\n    return 0;\n}\n"",""rating"":5},""code"":""double getTax(Person person) {\n  if(person.class == Employee.class) {\n    Employee employee = (Employee) person;\n    if(employee.getSalary() < 10000) {\n      return 0.02 * employee.getSalary();\n    }\n    \n    return 0.05 * employee.getSalary();\n  } else if(person.class == BusinessOwner.class) {\n    BusinessOwner employee = (BusinessOwner) person;\n    \n    return 0.1 * employee.getProfit();\n  }\n  \n  return 0;\n}""}"
30,0.0,0.0,4.0,0.0,2017-03-24 05:38:44.065163,2,5,"{""qId"":2,""reco"":{""rank"":5,""source"":0,""text"":""@WorkInProgress\n@Task(description = \""Implement tax computations\"", estimatedHours = 50, additionalNote = \""This implementation is critical for the final launch\"")\npublic static float ComputeTax(float amount, float rate) {\n    return 0;\n}\n"",""rating"":5},""code"":""double getTax(Person person) {\n  if(person.class == Employee.class) {\n    Employee employee = (Employee) person;\n    if(employee.getSalary() < 10000) {\n      return 0.02 * employee.getSalary();\n    }\n    \n    return 0.05 * employee.getSalary();\n  } else if(person.class == BusinessOwner.class) {\n    BusinessOwner employee = (BusinessOwner) person;\n    \n    return 0.1 * employee.getProfit();\n  }\n  \n  return 0;\n}""}"
31,0.0,0.0,4.0,0.0,2017-03-24 05:38:44.301950,2,6,"{""qId"":2,""reco"":{""rank"":5,""source"":0,""text"":""@WorkInProgress\n@Task(description = \""Implement tax computations\"", estimatedHours = 50, additionalNote = \""This implementation is critical for the final launch\"")\npublic static float ComputeTax(float amount, float rate) {\n    return 0;\n}\n"",""rating"":5},""code"":""double getTax(Person person) {\n  if(person.class == Employee.class) {\n    Employee employee = (Employee) person;\n    if(employee.getSalary() < 10000) {\n      return 0.02 * employee.getSalary();\n    }\n    \n    return 0.05 * employee.getSalary();\n  } else if(person.class == BusinessOwner.class) {\n    BusinessOwner employee = (BusinessOwner) person;\n    \n    return 0.1 * employee.getProfit();\n  }\n  \n  return 0;\n}""}"
32,0.0,0.0,4.0,0.0,2017-03-24 05:38:44.491919,2,7,"{""qId"":2,""reco"":{""rank"":5,""source"":0,""text"":""@WorkInProgress\n@Task(description = \""Implement tax computations\"", estimatedHours = 50, additionalNote = \""This implementation is critical for the final launch\"")\npublic static float ComputeTax(float amount, float rate) {\n    return 0;\n}\n"",""rating"":5},""code"":""double getTax(Person person) {\n  if(person.class == Employee.class) {\n    Employee employee = (Employee) person;\n    if(employee.getSalary() < 10000) {\n      return 0.02 * employee.getSalary();\n    }\n    \n    return 0.05 * employee.getSalary();\n  } else if(person.class == BusinessOwner.class) {\n    BusinessOwner employee = (BusinessOwner) person;\n    \n    return 0.1 * employee.getProfit();\n  }\n  \n  return 0;\n}""}"
33,0.0,0.0,4.0,0.0,2017-03-24 05:38:44.815043,2,8,"{""qId"":2,""reco"":{""rank"":5,""source"":0,""text"":""@WorkInProgress\n@Task(description = \""Implement tax computations\"", estimatedHours = 50, additionalNote = \""This implementation is critical for the final launch\"")\npublic static float ComputeTax(float amount, float rate) {\n    return 0;\n}\n"",""rating"":5},""code"":""double getTax(Person person) {\n  if(person.class == Employee.class) {\n    Employee employee = (Employee) person;\n    if(employee.getSalary() < 10000) {\n      return 0.02 * employee.getSalary();\n    }\n    \n    return 0.05 * employee.getSalary();\n  } else if(person.class == BusinessOwner.class) {\n    BusinessOwner employee = (BusinessOwner) person;\n    \n    return 0.1 * employee.getProfit();\n  }\n  \n  return 0;\n}""}"
34,0.0,0.0,4.0,0.0,2017-03-24 05:38:45.035311,2,9,"{""qId"":2,""reco"":{""rank"":5,""source"":0,""text"":""@WorkInProgress\n@Task(description = \""Implement tax computations\"", estimatedHours = 50, additionalNote = \""This implementation is critical for the final launch\"")\npublic static float ComputeTax(float amount, float rate) {\n    return 0;\n}\n"",""rating"":5},""code"":""double getTax(Person person) {\n  if(person.class == Employee.class) {\n    Employee employee = (Employee) person;\n    if(employee.getSalary() < 10000) {\n      return 0.02 * employee.getSalary();\n    }\n    \n    return 0.05 * employee.getSalary();\n  } else if(person.class == BusinessOwner.class) {\n    BusinessOwner employee = (BusinessOwner) person;\n    \n    return 0.1 * employee.getProfit();\n  }\n  \n  return 0;\n}""}"
35,0.0,0.0,4.0,0.0,2017-03-24 05:38:45.199136,2,10,"{""qId"":2,""reco"":{""rank"":5,""source"":0,""text"":""@WorkInProgress\n@Task(description = \""Implement tax computations\"", estimatedHours = 50, additionalNote = \""This implementation is critical for the final launch\"")\npublic static float ComputeTax(float amount, float rate) {\n    return 0;\n}\n"",""rating"":5},""code"":""double getTax(Person person) {\n  if(person.class == Employee.class) {\n    Employee employee = (Employee) person;\n    if(employee.getSalary() < 10000) {\n      return 0.02 * employee.getSalary();\n    }\n    \n    return 0.05 * employee.getSalary();\n  } else if(person.class == BusinessOwner.class) {\n    BusinessOwner employee = (BusinessOwner) person;\n    \n    return 0.1 * employee.getProfit();\n  }\n  \n  return 0;\n}""}"
36,0.0,0.0,4.0,0.0,2017-03-24 05:38:46.147799,2,11,"{""qId"":2,""reco"":{""rank"":5,""source"":0,""text"":""@WorkInProgress\n@Task(description = \""Implement tax computations\"", estimatedHours = 50, additionalNote = \""This implementation is critical for the final launch\"")\npublic static float ComputeTax(float amount, float rate) {\n    return 0;\n}\n"",""rating"":5},""code"":""double getTax(Person person) {\n  if(person.class == Employee.class) {\n    Employee employee = (Employee) person;\n    if(employee.getSalary() < 10000) {\n      return 0.02 * employee.getSalary();\n    }\n    \n    return 0.05 * employee.getSalary();\n  } else if(person.class == BusinessOwner.class) {\n    BusinessOwner employee = (BusinessOwner) person;\n    \n    return 0.1 * employee.getProfit();\n  }\n  \n  return 0;\n}""}"
37,1.0,0.0,4.0,0.0,2017-03-24 05:40:07.027182,2,,"double getTax(Person person) {
  if(person.class == Employee.class) {
    Employee employee = (Employee) person;
    if(employee.getSalary() < 10000) {
      return 0.02 * employee.getSalary();
    }
    
    return 0.05 * employee.getSalary();
  } else if(person.class == BusinessOwner.class) {
    BusinessOwner employee = (BusinessOwner) person;
    
    return 0.1 * employee.getProfit();
  }
  
  return 0;
}"
38,1.0,0.0,4.0,0.0,2017-03-24 05:40:28.010561,2,12,"{""qId"":2,""reco"":{""rank"":3,""source"":1,""text"":""double performConversion(double f) {\n    return f *= 0.071428571429;\n}\n"",""rating"":4},""code"":""double getTax(Person person) {\n  if(person.class == Employee.class) {\n    Employee employee = (Employee) person;\n    if(employee.getSalary() < 10000) {\n      return 0.02 * employee.getSalary();\n    }\n    \n    return 0.05 * employee.getSalary();\n  } else if(person.class == BusinessOwner.class) {\n    BusinessOwner employee = (BusinessOwner) person;\n    \n    return 0.1 * employee.getProfit();\n  }\n  \n  return 0;\n}""}"
39,1.0,0.0,4.0,0.0,2017-03-24 05:40:28.976939,2,13,"{""qId"":2,""reco"":{""rank"":1,""source"":0,""text"":""/**\n      Gets the name of this employee.\n      @return the name \n   */\npublic String getName() {\n    return name;\n}\n"",""rating"":2},""code"":""double getTax(Person person) {\n  if(person.class == Employee.class) {\n    Employee employee = (Employee) person;\n    if(employee.getSalary() < 10000) {\n      return 0.02 * employee.getSalary();\n    }\n    \n    return 0.05 * employee.getSalary();\n  } else if(person.class == BusinessOwner.class) {\n    BusinessOwner employee = (BusinessOwner) person;\n    \n    return 0.1 * employee.getProfit();\n  }\n  \n  return 0;\n}""}"
40,1.0,0.0,4.0,0.0,2017-03-24 05:40:35.441190,2,14,"{""qId"":2,""reco"":{""rank"":4,""source"":1,""text"":""double peek() {\n    return ((Double) s.peek()).doubleValue();\n}\n"",""rating"":4},""code"":""double getTax(Person person) {\n  if(person.class == Employee.class) {\n    Employee employee = (Employee) person;\n    if(employee.getSalary() < 10000) {\n      return 0.02 * employee.getSalary();\n    }\n    \n    return 0.05 * employee.getSalary();\n  } else if(person.class == BusinessOwner.class) {\n    BusinessOwner employee = (BusinessOwner) person;\n    \n    return 0.1 * employee.getProfit();\n  }\n  \n  return 0;\n}""}"
41,1.0,0.0,4.0,0.0,2017-03-24 05:40:40.541627,2,15,"{""qId"":2,""reco"":{""rank"":3,""source"":0,""text"":""/**\n      Constructs an employee with an empty name.\n   */\npublic Employee() {\n    name = \""\"";\n}\n"",""rating"":4},""code"":""double getTax(Person person) {\n  if(person.class == Employee.class) {\n    Employee employee = (Employee) person;\n    if(employee.getSalary() < 10000) {\n      return 0.02 * employee.getSalary();\n    }\n    \n    return 0.05 * employee.getSalary();\n  } else if(person.class == BusinessOwner.class) {\n    BusinessOwner employee = (BusinessOwner) person;\n    \n    return 0.1 * employee.getProfit();\n  }\n  \n  return 0;\n}""}"
42,3.0,1.0,1.0,1.0,2017-03-24 05:42:41.462269,2,,"int maxDiff(int[] array) {
  
}"
43,3.0,1.0,1.0,1.0,2017-03-24 05:45:59.341204,2,16,"{""qId"":1,""reco"":{""rank"":1,""source"":1,""text"":""int getPrice() {\n    return price;\n}\n"",""rating"":3},""code"":""int maxDiff(int[] array) {\n  return large - small;\n}""}"
44,3.0,1.0,1.0,1.0,2017-03-24 05:46:00.127403,2,17,"{""qId"":1,""reco"":{""rank"":4,""source"":0,""text"":""public static void main(String args[]) {\n    int m = 10, n = 20, max;\n    max = (m > n) ? m : n;\n    System.out.println(\""max of \"" + m + \"" and \"" + n + \"": \"" + max);\n    n = 5;\n    max = (m > n) ? m : n;\n    System.out.println(\""max of \"" + m + \"" and \"" + n + \"": \"" + max);\n}\n"",""rating"":5},""code"":""int maxDiff(int[] array) {\n  return large - small;\n}""}"
45,3.0,1.0,1.0,1.0,2017-03-24 05:46:01.169791,2,18,"{""qId"":1,""reco"":{""rank"":1,""source"":0,""text"":""/**\n      Creates the radio buttons to select the font size.\n      @return the panel containing the radio buttons\n   */\npublic JPanel createRadioButtons() {\n    smallButton = new JRadioButton(\""Small\"");\n    smallButton.addActionListener(listener);\n    mediumButton = new JRadioButton(\""Medium\"");\n    mediumButton.addActionListener(listener);\n    largeButton = new JRadioButton(\""Large\"");\n    largeButton.addActionListener(listener);\n    largeButton.setSelected(true);\n    // Add radio buttons to button group\n    ButtonGroup group = new ButtonGroup();\n    group.add(smallButton);\n    group.add(mediumButton);\n    group.add(largeButton);\n    JPanel panel = new JPanel();\n    panel.add(smallButton);\n    panel.add(mediumButton);\n    panel.add(largeButton);\n    panel.setBorder(new TitledBorder(new EtchedBorder(), \""Size\""));\n    return panel;\n}\n"",""rating"":2},""code"":""int maxDiff(int[] array) {\n  return large - small;\n}""}"
46,3.0,1.0,1.0,1.0,2017-03-24 05:46:03.043561,2,19,"{""qId"":1,""reco"":{""rank"":5,""source"":0,""text"":""public static void main(String[] argv) {\n    for (int i = 0; i < argv.length; i++) try {\n        long l = Long.parseLong(argv[i]);\n        if (l < 0) {\n            System.err.println(argv[i] + \"" -> TOO SMALL\"");\n            continue;\n        }\n        System.out.println(argv[i] + \""->\"" + findPalindrome(l));\n    } catch (NumberFormatException e) {\n        System.err.println(argv[i] + \""-> INVALID\"");\n    } catch (IllegalStateException e) {\n        System.err.println(argv[i] + \""-> \"" + e);\n    }\n}\n"",""rating"":4},""code"":""int maxDiff(int[] array) {\n  return large - small;\n}""}"
47,3.0,1.0,1.0,1.0,2017-03-24 05:46:04.687477,2,20,"{""qId"":1,""reco"":{""rank"":4,""source"":1,""text"":""int getPlayer() {\n    return playerID;\n}\n"",""rating"":3},""code"":""int maxDiff(int[] array) {\n  return large - small;\n}""}"
48,3.0,1.0,1.0,1.0,2017-03-24 05:46:06.286325,2,21,"{""qId"":1,""reco"":{""rank"":6,""source"":0,""text"":""public static long factorial(int x) throws IllegalArgumentException {\n    // Check if x is too big or too small.  Throw an exception if so.\n    if (// \"".length\"" returns length of any array\n    x >= table.length)\n        throw new IllegalArgumentException(\""Overflow; x is too large.\"");\n    if (x < 0)\n        throw new IllegalArgumentException(\""x must be non-negative.\"");\n    // Compute and cache any values that are not yet cached.\n    while (last < x) {\n        table[last + 1] = table[last] * (last + 1);\n        last++;\n    }\n    // Now return the cached factorial of x.\n    return table[x];\n}\n"",""rating"":4},""code"":""int maxDiff(int[] array) {\n  return large - small;\n}""}"
49,3.0,1.0,1.0,1.0,2017-03-24 05:46:08.105939,2,22,"{""qId"":1,""reco"":{""rank"":3,""source"":0,""text"":""/**\n      Gets user choice for font name, style, and size\n      and sets the font of the text sample.\n   */\npublic void setLabelFont() {\n    // Get font name   \n    String facename = (String) facenameCombo.getSelectedItem();\n    // Get font style\n    int style = 0;\n    if (italicCheckBox.isSelected()) {\n        style = style + Font.ITALIC;\n    }\n    if (boldCheckBox.isSelected()) {\n        style = style + Font.BOLD;\n    }\n    // Get font size   \n    int size = 0;\n    final int SMALL_SIZE = 24;\n    final int MEDIUM_SIZE = 36;\n    final int LARGE_SIZE = 48;\n    if (smallButton.isSelected()) {\n        size = SMALL_SIZE;\n    } else if (mediumButton.isSelected()) {\n        size = MEDIUM_SIZE;\n    } else if (largeButton.isSelected()) {\n        size = LARGE_SIZE;\n    }\n    // Set font of text field\n    label.setFont(new Font(facename, style, size));\n    label.repaint();\n}\n"",""rating"":2},""code"":""int maxDiff(int[] array) {\n  return large - small;\n}""}"
50,3.0,1.0,1.0,1.0,2017-03-24 05:46:10.148338,2,23,"{""qId"":1,""reco"":{""rank"":6,""source"":1,""text"":""int getX() {\n    return x;\n}\n"",""rating"":4},""code"":""int maxDiff(int[] array) {\n  return large - small;\n}""}"
51,3.0,1.0,1.0,1.0,2017-03-24 05:46:12.171315,2,24,"{""qId"":1,""reco"":{""rank"":2,""source"":1,""text"":""int getCount() {\n    return count;\n}\n"",""rating"":3},""code"":""int maxDiff(int[] array) {\n  return large - small;\n}""}"
52,3.0,1.0,1.0,1.0,2017-03-24 05:46:13.349583,2,25,"{""qId"":1,""reco"":{""rank"":3,""source"":1,""text"":""int getSize() {\n    // Return the number of Locations on the stack. \n    return size;\n}\n"",""rating"":3},""code"":""int maxDiff(int[] array) {\n  return large - small;\n}""}"
53,3.0,1.0,1.0,1.0,2017-03-24 05:46:14.448131,2,26,"{""qId"":1,""reco"":{""rank"":2,""source"":0,""text"":""public FontUIResource getSubTextFont() {\n    return smallFont;\n}\n"",""rating"":4},""code"":""int maxDiff(int[] array) {\n  return large - small;\n}""}"
54,3.0,1.0,1.0,1.0,2017-03-24 05:46:15.030607,2,27,"{""qId"":1,""reco"":{""rank"":5,""source"":1,""text"":""int getSize() {\n    // Return the number of items on the queue.\n    return size;\n}\n"",""rating"":4},""code"":""int maxDiff(int[] array) {\n  return large - small;\n}""}"
