voteid,question,source,rank,rating,time,user_id,code
21,1,0,6,4,2017-03-24 05:46:06.280728,2,"int maxDiff(int[] array) {
  return large - small;
}"
22,1,0,3,2,2017-03-24 05:46:08.101319,2,"int maxDiff(int[] array) {
  return large - small;
}"
23,1,1,6,4,2017-03-24 05:46:10.129244,2,"int maxDiff(int[] array) {
  return large - small;
}"
24,1,1,2,3,2017-03-24 05:46:12.155022,2,"int maxDiff(int[] array) {
  return large - small;
}"
25,1,1,3,3,2017-03-24 05:46:13.345229,2,"int maxDiff(int[] array) {
  return large - small;
}"
26,1,0,2,4,2017-03-24 05:46:14.443732,2,"int maxDiff(int[] array) {
  return large - small;
}"
27,1,1,5,4,2017-03-24 05:46:15.025492,2,"int maxDiff(int[] array) {
  return large - small;
}"
28,1,0,4,4,2017-03-24 05:46:19.255440,2,"int maxDiff(int[] array) {
  return large - small;
}"
29,1,0,4,4,2017-03-24 05:46:19.392146,2,"int maxDiff(int[] array) {
  return large - small;
}"
30,1,1,1,5,2017-03-24 05:46:30.211562,2,"int maxDiff(int[] array) {
  return large - small;
}"
31,1,0,5,4,2017-03-24 06:03:25.606340,3,"public int difference(int input[]) {
  int diff = 0;
  int max = Integer.MAX_INT;
  int min = Integer.MIN_INT;

  return 0;
}"
32,1,0,6,4,2017-03-24 06:07:13.630426,3,"public int difference(int input[]) {
  int max = Integer.MIN_INT;
  int min = Integer.MAX_INT;
  for(int i = 0; i < input.length(); i++) {
    if(input[i] > max)
      max = input[i];
    if(input[i] < min)
      min = input[i];
  }
  return max-min;
}"
33,1,1,3,3,2017-03-24 06:07:40.138680,3,"public int difference(int input[]) {
  int max = Integer.MIN_INT;
  int min = Integer.MAX_INT;
  for(int i = 0; i < input.length(); i++) {
    if(input[i] > max)
      max = input[i];
    if(input[i] < min)
      min = input[i];
  }
  return max-min;
}"
34,1,1,4,3,2017-03-24 06:08:13.111288,3,"public int difference(int input[]) {
  int max = Integer.MIN_INT;
  int min = Integer.MAX_INT;
  for(int i = 0; i < input.length(); i++) {
    if(input[i] > max)
      max = input[i];
    if(input[i] < min)
      min = input[i];
  }
  return max-min;
}"
35,1,1,3,4,2017-03-24 06:08:30.060311,3,"public int difference(int input[]) {
  int max = Integer.MIN_INT;
  int min = Integer.MAX_INT;
  for(int i = 0; i < input.length(); i++) {
    if(input[i] > max)
      max = input[i];
    if(input[i] < min)
      min = input[i];
  }
  return max-min;
}"
36,1,0,5,4,2017-03-24 06:08:49.424127,3,"public int difference(int input[]) {
  int max = Integer.MIN_INT;
  int min = Integer.MAX_INT;
  for(int i = 0; i < input.length(); i++) {
    if(input[i] > max)
      max = input[i];
    if(input[i] < min)
      min = input[i];
  }
  return max-min;
}"
37,1,0,6,3,2017-03-24 06:09:40.293846,3,"public int difference(int input[]) {
  int max = Integer.MIN_INT;
  int min = Integer.MAX_INT;
  for(int i = 0; i < input.length(); i++) {
    if(input[i] > max)
      max = input[i];
    if(input[i] < min)
      min = input[i];
  }
  return max-min;
}"
38,1,0,6,3,2017-03-24 06:10:09.920399,3,"public int difference(int input[]) {
  int max = Integer.MIN_INT;
  int min = Integer.MAX_INT;
  for(int i = 0; i < input.length(); i++) {
    if(input[i] > max)
      max = input[i];
    if(input[i] < min)
      min = input[i];
  }
  return max-min;
}"
39,1,0,5,4,2017-03-24 06:10:12.840553,3,"public int difference(int input[]) {
  int max = Integer.MIN_INT;
  int min = Integer.MAX_INT;
  for(int i = 0; i < input.length(); i++) {
    if(input[i] > max)
      max = input[i];
    if(input[i] < min)
      min = input[i];
  }
  return max-min;
}"
40,1,1,4,3,2017-03-24 06:10:33.439560,3,"public int difference(int input[]) {
  int max = Integer.MIN_INT;
  int min = Integer.MAX_INT;
  for(int i = 0; i < input.length(); i++) {
    if(input[i] > max)
      max = input[i];
    if(input[i] < min)
      min = input[i];
  }
  return max-min;
}"
41,1,0,6,3,2017-03-24 06:10:43.260720,3,"public int difference(int input[]) {
  int max = Integer.MIN_INT;
  int min = Integer.MAX_INT;
  for(int i = 0; i < input.length(); i++) {
    if(input[i] > max)
      max = input[i];
    if(input[i] < min)
      min = input[i];
  }
  return max-min;
}"
42,1,0,2,2,2017-03-24 06:10:49.358211,3,"public int difference(int input[]) {
  int max = Integer.MIN_INT;
  int min = Integer.MAX_INT;
  for(int i = 0; i < input.length(); i++) {
    if(input[i] > max)
      max = input[i];
    if(input[i] < min)
      min = input[i];
  }
  return max-min;
}"
43,1,0,5,3,2017-03-24 06:10:53.524198,3,"public int difference(int input[]) {
  int max = Integer.MIN_INT;
  int min = Integer.MAX_INT;
  for(int i = 0; i < input.length(); i++) {
    if(input[i] > max)
      max = input[i];
    if(input[i] < min)
      min = input[i];
  }
  return max-min;
}"
44,1,1,5,4,2017-03-24 06:13:14.845457,3,"public int difference(int input[]) {
  int max = Integer.MIN_INT;
  int min = Integer.MAX_INT;
  for(int i = 0; i < input.length(); i++) {
    if(input[i] > max)
      max = input[i];
    if(input[i] < min)
      min = input[i];
  }
  //Return maximum difference in an array
  return max-min;
}"
45,1,1,6,3,2017-03-24 06:13:19.594633,3,"public int difference(int input[]) {
  int max = Integer.MIN_INT;
  int min = Integer.MAX_INT;
  for(int i = 0; i < input.length(); i++) {
    if(input[i] > max)
      max = input[i];
    if(input[i] < min)
      min = input[i];
  }
  //Return maximum difference in an array
  return max-min;
}"
46,2,0,4,5,2017-03-24 06:17:12.610590,3,"double getTax(Person p) {
  Employee e = new Person();
  double salary = p.getSalary();
}"
47,2,0,4,4,2017-03-24 06:19:08.340819,3,"double getTax(Person p) {
  Employee e = new Person();
  double salary = p.getSalary();
}"
48,2,1,1,3,2017-03-24 06:21:12.174834,3,"double getTax(Person p) {
  //type casting objects
  Employee e = new Person();
  double salary = p.getSalary();
}"
49,2,1,5,3,2017-03-24 06:21:15.562806,3,"double getTax(Person p) {
  //type casting objects
  Employee e = new Person();
  double salary = p.getSalary();
}"
50,2,1,2,3,2017-03-24 06:21:22.607455,3,"double getTax(Person p) {
  //type casting objects
  Employee e = new Person();
  double salary = p.getSalary();
}"
51,2,1,3,5,2017-03-24 06:25:25.791783,3,"double getTax(Person p) {
  //type casting objects
  Employee e = (Employee) p;
  BusinessOwner b = (BusinessOwner) p;
  Veteran v = (Veteran) p;
  double salary = e.getSalary();
}"
52,2,1,4,4,2017-03-24 06:34:09.069413,3,"double getTax(Person p) {
  //type casting objects
  if(p.instanceOf(Employee)) {
    
  }
  Employee e = (Employee) p;
  BusinessOwner b = (BusinessOwner) p;
  Veteran v = (Veteran) p;
  
}"
53,2,1,4,5,2017-03-24 06:36:14.795090,3,"double getTax(Person p) {
  //type casting objects
  if(p instanceof Employee) {
    
  }
  Employee e = (Employee) p;
  BusinessOwner b = (BusinessOwner) p;
  Veteran v = (Veteran) p;
  
}"
54,2,1,6,5,2017-03-24 06:36:17.035355,3,"double getTax(Person p) {
  //type casting objects
  if(p instanceof Employee) {
    
  }
  Employee e = (Employee) p;
  BusinessOwner b = (BusinessOwner) p;
  Veteran v = (Veteran) p;
  
}"
55,2,1,6,4,2017-03-24 06:39:19.116485,3,"double getTax(Person p) {
  //type casting objects
  if(p instanceof Employee) {
    Employee e = (Employee) p;
    
  }
  else if(p instanceof BusinessOwner) {
    BusinessOwner b = (BusinessOwner) p;
  }
  else if(p instanceof Veteran) {
    Veteran v = (Veteran) p;
  }
  
  
  
  
}"
56,2,1,5,5,2017-03-24 06:39:24.834481,3,"double getTax(Person p) {
  //type casting objects
  if(p instanceof Employee) {
    Employee e = (Employee) p;
    
  }
  else if(p instanceof BusinessOwner) {
    BusinessOwner b = (BusinessOwner) p;
  }
  else if(p instanceof Veteran) {
    Veteran v = (Veteran) p;
  }
  
  
  
  
}"
57,2,1,3,5,2017-03-24 06:39:43.925936,3,"double getTax(Person p) {
  //type casting objects
  if(p instanceof Employee) {
    Employee e = (Employee) p;
    
  }
  else if(p instanceof BusinessOwner) {
    BusinessOwner b = (BusinessOwner) p;
  }
  else if(p instanceof Veteran) {
    Veteran v = (Veteran) p;
  }
  
  
  
  
}"
58,2,1,3,3,2017-03-24 06:54:08.699598,3,"double getTax(Person p) throws Exception{
  //type casting objects
  int tax = 0;
  if(p instanceof Employee) {
    Employee e = (Employee) p;
    if(e.getSalary() < 10000.0)
      tax = 0.02 * p.getSalary();
    else
      tax = 0.05 * p.getSalary();
    return tax;
  }
  else if(p instanceof BusinessOwner) {
    BusinessOwner b = (BusinessOwner) p;
    tax = 0.1 * b.getProfit();
    return tax;
  }
  else if(p instanceof Veteran) {
    return tax;
  }
  else throw new Exception();
}"
59,2,1,3,4,2017-03-24 06:54:11.627609,3,"double getTax(Person p) throws Exception{
  //type casting objects
  int tax = 0;
  if(p instanceof Employee) {
    Employee e = (Employee) p;
    if(e.getSalary() < 10000.0)
      tax = 0.02 * p.getSalary();
    else
      tax = 0.05 * p.getSalary();
    return tax;
  }
  else if(p instanceof BusinessOwner) {
    BusinessOwner b = (BusinessOwner) p;
    tax = 0.1 * b.getProfit();
    return tax;
  }
  else if(p instanceof Veteran) {
    return tax;
  }
  else throw new Exception();
}"
60,2,1,2,5,2017-03-24 06:54:19.460985,3,"double getTax(Person p) throws Exception{
  //type casting objects
  int tax = 0;
  if(p instanceof Employee) {
    Employee e = (Employee) p;
    if(e.getSalary() < 10000.0)
      tax = 0.02 * p.getSalary();
    else
      tax = 0.05 * p.getSalary();
    return tax;
  }
  else if(p instanceof BusinessOwner) {
    BusinessOwner b = (BusinessOwner) p;
    tax = 0.1 * b.getProfit();
    return tax;
  }
  else if(p instanceof Veteran) {
    return tax;
  }
  else throw new Exception();
}"
61,2,0,2,1,2017-03-24 06:55:49.398657,4,"double getTax(Person p){
  
}"
62,2,0,2,1,2017-03-24 07:02:02.084326,4,"double getTax(Person p){
  
}"
63,2,1,4,2,2017-03-24 07:02:34.818667,4,"double getTax(Person p){
  
}"
64,2,1,6,1,2017-03-24 07:02:53.522432,4,"double getTax(Person p){
  
}"
65,2,1,4,2,2017-03-24 07:03:15.711327,4,"double getTax(Person p){
  
}"
66,2,0,5,3,2017-03-24 07:03:42.199373,4,"double getTax(Person p){
  
}"
67,2,1,4,2,2017-03-24 07:04:08.881081,4,"double getTax(Person p){
  // typecasting
}"
68,1,1,2,4,2017-03-24 21:38:43.617063,61,"int Dif(int[] array){
  //find max of array
  //find min of array
  //return max-min
}"
69,1,1,1,4,2017-03-24 21:38:57.906048,61,"int Dif(int[] array){
  //find max of array
  //find min of array
  //return max-min
}"
70,1,1,1,4,2017-03-24 21:39:19.203087,61,"int Dif(int[] array){
  //find max of array
  //find min of array
  //return max-min
}"
71,1,1,2,4,2017-03-24 21:39:24.909724,61,"int Dif(int[] array){
  //find max of array
  //find min of array
  //return max-min
}"
72,1,1,2,1,2017-03-24 21:40:14.180721,17,"int largeDiff(int[] myArray){
  
}"
73,1,0,1,2,2017-03-24 21:40:23.787373,17,"int largeDiff(int[] myArray){
  
}"
74,1,0,5,1,2017-03-24 21:40:40.821685,17,"int largeDiff(int[] myArray){
  
}"
75,1,1,2,1,2017-03-24 21:40:46.445359,17,"int largeDiff(int[] myArray){
  
}"
76,1,0,4,2,2017-03-24 21:40:54.445261,17,"int largeDiff(int[] myArray){
  
}"
77,1,0,3,1,2017-03-24 21:40:59.418965,17,"int largeDiff(int[] myArray){
  
}"
78,2,0,5,3,2017-03-24 21:41:05.602372,18,"class Person{
  String name;
  int age;
}
class Employee extends Person{
  double getSalary();
}
"
79,1,0,2,3,2017-03-24 21:41:05.736760,17,"int largeDiff(int[] myArray){
  
}"
80,2,0,4,3,2017-03-24 21:41:14.390627,18,"class Person{
  String name;
  int age;
}
class Employee extends Person{
  double getSalary();
}
"
81,1,0,1,3,2017-03-24 21:41:20.959198,17,"int largeDiff(int[] myArray){
  
}"
82,1,1,3,3,2017-03-24 21:41:28.767315,17,"int largeDiff(int[] myArray){
  
}"
83,1,1,4,1,2017-03-24 21:41:30.557704,17,"int largeDiff(int[] myArray){
  
}"
84,1,1,1,1,2017-03-24 21:41:33.558165,17,"int largeDiff(int[] myArray){
  
}"
85,1,1,2,4,2017-03-24 21:41:33.592934,61,"int Dif(int[] array){
  //find max value of array
  //find min value of array
  //return max-min
}"
86,2,1,3,2,2017-03-24 21:41:34.365989,18,"class Person{
  String name;
  int age;
}
class Employee extends Person{
  double getSalary();
}
"
87,2,1,1,1,2017-03-24 21:41:41.123331,18,"class Person{
  String name;
  int age;
}
class Employee extends Person{
  double getSalary();
}
"
88,2,0,2,1,2017-03-24 21:41:42.673332,18,"class Person{
  String name;
  int age;
}
class Employee extends Person{
  double getSalary();
}
"
89,1,1,5,4,2017-03-24 21:41:42.880582,17,"int largeDiff(int[] myArray){
  
}"
90,2,1,5,1,2017-03-24 21:41:48.737070,18,"class Person{
  String name;
  int age;
}
class Employee extends Person{
  double getSalary();
}
"
91,2,1,2,1,2017-03-24 21:41:50.563781,18,"class Person{
  String name;
  int age;
}
class Employee extends Person{
  double getSalary();
}
"
92,2,0,3,1,2017-03-24 21:41:52.788529,18,"class Person{
  String name;
  int age;
}
class Employee extends Person{
  double getSalary();
}
"
93,2,0,1,1,2017-03-24 21:41:54.983024,18,"class Person{
  String name;
  int age;
}
class Employee extends Person{
  double getSalary();
}
"
94,1,0,5,2,2017-03-24 21:41:57.492934,61,"int Dif(int[] array){
  //find max value of array
  //find min value of array
  //return max-min
}"
95,2,1,4,1,2017-03-24 21:41:57.647125,18,"class Person{
  String name;
  int age;
}
class Employee extends Person{
  double getSalary();
}
"
96,1,1,1,4,2017-03-24 21:42:02.264657,61,"int Dif(int[] array){
  //find max value of array
  //find min value of array
  //return max-min
}"
97,1,0,2,5,2017-03-24 21:42:02.644367,17,"int largeDiff(int[] myArray){
  
}"
98,1,1,3,1,2017-03-24 21:42:09.692455,47,"//return differnce from maximum and minimum integerest from array
int something = new array[1,2,3];
int first;
int method(int first)
{
  return first;
}"
99,2,0,4,3,2017-03-24 21:42:10.179515,34,"public void Person()
{
  //interface
}"
100,1,1,4,1,2017-03-24 21:42:12.656710,47,"//return differnce from maximum and minimum integerest from array
int something = new array[1,2,3];
int first;
int method(int first)
{
  return first;
}"
101,1,0,4,1,2017-03-24 21:42:13.229638,61,"int Dif(int[] array){
  //find max value of array
  //find min value of array
  //return max-min
}"
102,1,0,1,1,2017-03-24 21:42:14.891492,47,"//return differnce from maximum and minimum integerest from array
int something = new array[1,2,3];
int first;
int method(int first)
{
  return first;
}"
103,1,0,1,1,2017-03-24 21:42:16.387564,61,"int Dif(int[] array){
  //find max value of array
  //find min value of array
  //return max-min
}"
104,1,1,1,1,2017-03-24 21:42:16.699911,47,"//return differnce from maximum and minimum integerest from array
int something = new array[1,2,3];
int first;
int method(int first)
{
  return first;
}"
105,1,0,1,3,2017-03-24 21:42:16.740228,17,"int largeDiff(int[] myArray){
  
}"
106,1,0,2,1,2017-03-24 21:42:19.533100,61,"int Dif(int[] array){
  //find max value of array
  //find min value of array
  //return max-min
}"
107,1,1,4,2,2017-03-24 21:42:21.603627,61,"int Dif(int[] array){
  //find max value of array
  //find min value of array
  //return max-min
}"
108,1,1,2,1,2017-03-24 21:42:22.311174,47,"//return differnce from maximum and minimum integerest from array
int something = new array[1,2,3];
int first;
int method(int first)
{
  return first;
}"
109,1,1,5,1,2017-03-24 21:42:23.508452,47,"//return differnce from maximum and minimum integerest from array
int something = new array[1,2,3];
int first;
int method(int first)
{
  return first;
}"
110,2,1,1,1,2017-03-24 21:42:23.630290,34,"public void Person()
{
  //interface
}"
111,1,1,5,1,2017-03-24 21:42:24.336469,61,"int Dif(int[] array){
  //find max value of array
  //find min value of array
  //return max-min
}"
112,1,0,4,1,2017-03-24 21:42:24.655973,47,"//return differnce from maximum and minimum integerest from array
int something = new array[1,2,3];
int first;
int method(int first)
{
  return first;
}"
113,2,0,5,1,2017-03-24 21:42:25.354194,36,"class Employee extends Person{
  double getSalary();
}"
114,1,0,2,1,2017-03-24 21:42:25.687255,47,"//return differnce from maximum and minimum integerest from array
int something = new array[1,2,3];
int first;
int method(int first)
{
  return first;
}"
115,1,0,3,1,2017-03-24 21:42:26.986103,61,"int Dif(int[] array){
  //find max value of array
  //find min value of array
  //return max-min
}"
116,1,0,3,1,2017-03-24 21:42:28.146534,47,"//return differnce from maximum and minimum integerest from array
int something = new array[1,2,3];
int first;
int method(int first)
{
  return first;
}"
117,2,0,5,1,2017-03-24 21:42:28.489576,34,"public void Person()
{
  //interface
}"
118,1,1,3,1,2017-03-24 21:42:28.987588,61,"int Dif(int[] array){
  //find max value of array
  //find min value of array
  //return max-min
}"
119,2,0,2,3,2017-03-24 21:42:30.207214,36,"class Employee extends Person{
  double getSalary();
}"
120,2,0,3,4,2017-03-24 21:42:31.758848,34,"public void Person()
{
  //interface
}"
121,1,0,4,5,2017-03-24 21:42:33.084391,39,"public int compare(){
//array try= [7,4,1];
//for (i=0; i<= try.length; i++){
 // array temp.copy(try);
 // try[i].compareTo(temp[i]);
}
"
122,2,0,1,1,2017-03-24 21:42:34.537584,16,"void mymethod() {
  // comments
}"
123,1,0,4,4,2017-03-24 21:42:34.672136,17,"int largeDiff(int[] myArray){
  
}"
124,2,1,3,2,2017-03-24 21:42:36.134397,36,"class Employee extends Person{
  double getSalary();
}"
125,1,0,2,1,2017-03-24 21:42:37.964615,47,"//return differnce from maximum and minimum integerest from array

int method(int first)
{
  return first;
}"
126,1,1,2,1,2017-03-24 21:42:38.932017,47,"//return differnce from maximum and minimum integerest from array

int method(int first)
{
  return first;
}"
127,2,1,4,1,2017-03-24 21:42:38.946279,16,"void mymethod() {
  // comments
}"
128,1,1,1,1,2017-03-24 21:42:40.090995,47,"//return differnce from maximum and minimum integerest from array

int method(int first)
{
  return first;
}"
129,2,0,2,3,2017-03-24 21:42:40.728564,34,"public void Person()
{
  //interface
}"
130,2,0,4,3,2017-03-24 21:42:41.029532,36,"class Employee extends Person{
  double getSalary();
}"
131,2,1,1,1,2017-03-24 21:42:41.251648,16,"void mymethod() {
  // comments
}"
132,2,1,5,3,2017-03-24 21:42:43.040332,36,"class Employee extends Person{
  double getSalary();
}"
133,1,1,5,2,2017-03-24 21:42:43.447599,47,"//return differnce from maximum and minimum integerest from array

int method(int first)
{
  return first;
}"
134,2,1,2,1,2017-03-24 21:42:46.233003,34,"public void Person()
{
  //interface
}"
135,1,0,2,1,2017-03-24 21:42:46.251730,61,"int Dif(int[] array){
  //find max value of array
  //find min value of array
  //return max-min
}"
136,1,1,1,1,2017-03-24 21:42:46.275267,47,"//return differnce from maximum and minimum integerest from array

int method(int first)
{
  return first;
}"
137,2,0,3,3,2017-03-24 21:42:46.899646,36,"class Employee extends Person{
  double getSalary();
}"
138,1,0,5,4,2017-03-24 21:42:47.428821,39,"public int compare(){
//array try= [7,4,1];
//for (i=0; i<= try.length; i++){
 // array temp.copy(try);
 // try[i].compareTo(temp[i]);
}
"
139,2,1,2,3,2017-03-24 21:42:48.467744,36,"class Employee extends Person{
  double getSalary();
}"
140,2,1,2,1,2017-03-24 21:42:48.855732,16,"void mymethod() {
  // comments
}"
141,1,0,5,1,2017-03-24 21:42:51.356570,47,"//return differnce from maximum and minimum integerest from array

int method(int first)
{
  return first;
}"
142,2,0,3,1,2017-03-24 21:42:52.153545,16,"void mymethod() {
  // comments
}"
143,2,0,5,1,2017-03-24 21:42:53.514696,16,"void mymethod() {
  // comments
}"
144,2,1,5,1,2017-03-24 21:42:53.921262,34,"public void Person()
{
  //interface
}"
145,2,1,5,1,2017-03-24 21:42:55.693767,16,"void mymethod() {
  // comments
}"
146,2,0,1,2,2017-03-24 21:42:56.246724,36,"class Employee extends Person{
  double getSalary();
}"
147,2,0,4,1,2017-03-24 21:42:57.846285,16,"void mymethod() {
  // comments
}"
148,2,1,3,1,2017-03-24 21:42:59.303828,16,"void mymethod() {
  // comments
}"
149,2,1,3,2,2017-03-24 21:43:01.204090,34,"public void Person()
{
  //interface
}"
150,1,0,5,3,2017-03-24 21:43:02.944763,13,"void somethod () {
  // come
}"
151,2,1,4,1,2017-03-24 21:43:02.982275,36,"class Employee extends Person{
  double getSalary();
}"
152,2,1,1,1,2017-03-24 21:43:04.280662,36,"class Employee extends Person{
  double getSalary();
}"
153,1,1,1,2,2017-03-24 21:43:04.476792,13,"void somethod () {
  // come
}"
154,1,0,3,1,2017-03-24 21:43:06.396541,13,"void somethod () {
  // come
}"
155,2,0,2,1,2017-03-24 21:43:08.142812,16,"void mymethod() {
  // comments
}"
156,1,0,1,3,2017-03-24 21:43:08.244019,13,"void somethod () {
  // come
}"
157,2,0,4,4,2017-03-24 21:43:09.680093,12,"void somethod() {
  //some comments
}"
158,1,0,2,2,2017-03-24 21:43:10.525171,13,"void somethod () {
  // come
}"
159,2,1,4,1,2017-03-24 21:43:12.545515,34,"public void Person()
{
  //interface
}"
160,1,1,2,1,2017-03-24 21:43:12.676153,13,"void somethod () {
  // come
}"
161,1,1,5,2,2017-03-24 21:43:14.816528,13,"void somethod () {
  // come
}"
162,2,0,3,5,2017-03-24 21:43:21.711900,12,"void somethod() {
  //some comments
}"
