,Username,Code,Queries,Word Count
29,405068,publicdoubletax(Personp){//if(pinstanceofEmployee){//p=(Employee)p;//doublesal=p.getSalary();//return(sal<10000):sal*0.02?sal*0.05;//}elseif(pinstanceofBusinessOwner){//p=(BusinessOwner)p;//returnp.getProfit()*0.1;//}else{return0;//}},8,57
30,405068,publicdoubletax(Personp){if(instanceof)},10,8
31,405068,publicdoubletax(Personp){if(pinstanceofEmployee){doublesal=p.getSalary();return(sal<10000):sal*0.02?sal*0.05;}elseif(pinstanceofBusinessOwner){returnp.getProfit()*0.1;}else{return0;}},1,44
32,405068,publicintlargest(int[]arr){intmin=arr[0];intmax=arr[1];for(inti=0;i<arr.length;i++){if(arr[i]<min)min=arr[i];if(arr[i]>max)max=arr[i];}returnmax=min;},15,41
33,4183247,intgetTax(Personperson){//Findsthetaxforapersonif(personinstanceofEmployee){Employeee=(Employee)Person;if(e.getSalary()<10000){returne.getSalary()*.02;}else{returne.getSalary()*0.05;}}},1,37
34,4183247,intgetTax(Personperson){//Returnsthetaxforaperson//TakesaPersonclassasinputif(personinstanceofEmployee){Employeee=(Employee)Person;if(e.getSalary()<10000){returne.getSalary()*.02;}else{returne.getSalary()*0.05;}}},1,43
35,4183247,intgetTax(Personperson){//Returnsthetaxforaperson//TakesaPersonclassasinputif(personinstanceofEmployee){Employeee=(Employee)person;if(e.getSalary()<10000){returne.getSalary()*.02;}else{returne.getSalary()*0.05;}}if(personinstanceofBusinessOwner){BusinessOwnerb=(BusinessOwner)person;returnb.getProfit()*0.10;}if(personinstanceofVeteran){return0;}},13,64
36,4183247,intgetTax(Personperson){if(personinstanceofEmployee){Employeee=(Employee)Person;if(e.getSalary()<10000){returne.getSalary()*.02;}else{returne.getSalary()*0.05;}}},1,31
37,4183247,intlargestDifference(int[]a){//Returnsthelargestdifference//Takesanintarrayasinputintlargest=INTEGER.Minimum;intsmallest=INTEGER.Maximum;for(inti=0;i<a.length;i++){if(a[i]>largest){largest=a[i];}if(a[i]<smallest){smallest=a[i];}}returnlargest-smallest;},3,47
38,4183247,intlargestDifference(int[]a){//Returnsthelargestdifferenceintlargest=INTEGER.Minimum;intsmallest=INTEGER.Maximum;for(inti=0;i<a.length;i++){if(a[i]>largest){largest=a[i];}if(a[i]<smallest){smallest=a[i];}}returnlargest-smallest;},3,41
39,4183247,intlargestDifference(int[]a){intlargest=INTEGER.Minimum;intsmallest=INTEGER.Maximum;for(inti=0;i<a.length;i++){if(a[i]>largest){largest=a[i];}if(a[i]<smallest){smallest=a[i];}}returnlargest-smallest;},2,37
40,4183247,intlargestDifference(int[]a){intlargest=INTEGER.Minimum;intsmallest=INTEGER.Maximum;for(inti=0;i<a.length;i++){if(a[i]>largest){largest=a[i];}}},1,25
41,4183247,intlargestDifference(int[]a){},1,5
42,4309395,intcomputeTax(Personperson){//computetaxgivensalary},15,8
43,4309395,intlargestDifference(inta[]){//computethelargestdifferencebetweenelementsofanarrayofintegers},3,15
44,4309395,intlargestDifference(inta[]){},10,4
45,7307170,privatedoublecalculateTax(Personperson){doubletaxCal=0;if(personinstanceofEmployee){if(((Employee)person).getSalary()<10000){taxCal=(person.getSalary())*0.02;}elsetaxCal=(person.getSalary())*0.05;}elseif(personinstanceofBusinessOwner){taxCal=((BusinessOwner)person.getProfit())*0.10;}elseif(personinstanceofVeteran){returntaxCal;}returntaxCal;},20,38
46,7307170,privateintdiffCalci(int[]numbers){intlargest=0;intsmallest=0;for(inti=0;i<numbers.length;i++){if(numbers[i]>largest)largest=numbers[i];if(numbers[i]<smallest)smallest=numbers[i];}returnlargest-smallest;},15,26
47,7649385,publicstaticintdiffLargestAndSmallest(finalArrayList<Integer>list){if(list.isEmpty()){return0;}else{return(Collections.max(list)-Collections.min(list))+1;}},14,23
48,7762477,intlargestDifference(int[]input){intlargest=0;for(inti=1;i<input.length;i++){for(intj=i+1;j<input.length;j++){if(Math.abs(input[i]-input[j])>largest){largest=Math.abs(input[i]-input[j]);}}}returnlargest;},16,43
49,7762477,intlargestDifference(int[]input){},8,5
50,7762477,publicdoublegetTax(Personperson){if(personinstanceofVeteran){return0;}if(personinstanceofBusinessOwner){}},12,18
51,7762477,publicdoublegetTax(Personperson){},4,6
52,7824879,doublecomputeTax(){Personp;Employeee=newEmployee();if(e.getSalary()<10000)tax=e.getSalary()*.02;elsetax=e.getSalary()*.05;BusinessOwnerbo=newBusinessOwner();tax=bo.getProfit()*.1;Veteransv=newVeterans();tax=0;},14,22
53,7824879,doublecomputeTax(Employeee){},1,5
54,7824879,doublediffElement(int[]a){intmax=a[0];for(inti;i<=a.length;i++)if(max<a[i])max=a[i];intmin=0;for(inti;i<=a.length;i++)if(a[i]<min)min=a[i];diff=max-min;returndiff;},15,22
55,8430193,"doublecalculateTaxFromPersonSalary(Personperson,doublesalary){//Givenapersonandhis/hersalary//Calculatetax//floatrate=0;//if(personinstanceOfEmployee){//if(salary>10000){//rate=5;//}else{//rate=2;//}//}elseif(personinstanceOfBusinessOwner){//rate=10;//}}",5,47
56,8430193,"doublecalculateTaxFromPersonSalary(Personperson,doublesalary){//Givenapersonandhis/hersalary//Calculatetax//floatrate=0;//if(personinstanceOfEmployee){//if(salary>10000){//rate=5;//}else{//rate=2;//}//}}",4,39
57,8430193,"doublecalculateTaxFromPersonSalary(Personperson,doublesalary){//Givenapersonandhis/hersalary//Calculatetax//floatrate=0;//if(personinstanceOfEmployee){//}}",3,25
58,8430193,"doublecalculateTaxFromPersonSalary(Personperson,doublesalary){//Givenapersonandhis/hersalary//Calculatetax}",2,16
59,8430193,doublecalculateTaxFromSalary(doublesalary){},1,4
60,8430193,intlargestDifferenceInArray(int[]ar){},2,4
61,8430193,intlargestDifferenceInArrayElements(int[]ar){//findmaxandminelementfromthearray//returnsdifferencebetweenmaxandmin},2,20
62,8430193,intlargestDifferenceInArrayElements(int[]ar){//findmaxandminelementfromthearray},2,13
63,8430193,intlargestDifferenceInArrayElements(int[]ar){//findmaximumelementfromthearray//findminimumelementfromthearray//returnsdifferencebetweenmaxandmin},3,25
64,8430193,intlargestDifferenceInArrayElements(int[]ar){},3,4
65,9136014,//largestdifferencebetweenarrayelementspublicintmaxDiffArr(int[]a){//sortthearrayinincreasingorderArrays.sort(a);//differencebetweenthelastandfirstarrayelements//isthemaxdifferencereturna[a.length-1]-a[0];},8,40
66,9136014,//largestdifferencebetweenarrayelementspublicintmaxDiffArr(int[]a){//sortthearrayinincreasingorderArrays.sort(a);//differencebetweenthelastandfirstisthemaxdifferencereturna[a.length-1]-a[0];},1,37
67,9136014,//largestdifferencebetweenarrayelementspublicintmaxDiffArr(int[]a){Arrays.sort(a);},1,13
68,9136014,//largestdifferencebetweenarrayelementspublicintmaxDiffArr(int[]a){Map<Integer>map=newHashMap<>();},1,17
69,9136014,//largestdifferencebetweenarrayelementspublicintmaxDiffArr(int[]a){},2,12
70,9136014,publicDoublegetTax(Personperson){if(personinstanceofEmployee){Employeee=(Employee)person;if(e.getSalary()<10000){//Percentageofsalaryreturn2*e.getSalary()/100;}else{return5*e.getSalary()/100;}}elseif(personinstanceofBusinessOwner){return10*e.getProfit()/100;}elseif(personinstanceofVeteran){return0;}//nullreturnfordoublewrapperclassreturnnull;},5,73
71,9136014,publicdoublegetTax(Personperson){//instanceOfoperatortoidentifytypeofPersonobject},1,15
72,9136014,publicdoublegetTax(Personperson){//instanceof},1,8
73,9136014,publicdoublegetTax(Personperson){if(personinstanceofEmployee){Employeee=(Employee)person;if(e.getSalary()<10000){//2percentofsalaryreturn2*e.getSalary()/100;}}},1,34
74,9136014,publicdoublegetTax(Personperson){if(personinstanceofEmployee){Employeee=(Employee)person;if(e.getSalary()<10000){//Percentageofsalaryreturn2*e.getSalary()/100;}else{return5*e.getSalary()/100;}}elseif(personinstanceofBusinessOwner){return10*e.getProfit()/100;}elseif(personinstanceofVeteran){return0;}//nullreturnfordoublereturnnull;},2,71
75,9136014,publicdoublegetTax(Personperson){if(personinstanceofEmployee){Employeee=(Employee)person;if(e.getSalary()<10000){//Percentageofsalaryreturn2*e.getSalary()/100;}else{return5*e.getSalary()/100;}}elseif(personinstanceofBusinessOwner){return10*e.getProfit()/100;}elseif(personinstanceofVeteran){return0;}//nullreturnforintreturnnull;},1,71
76,9136014,publicdoublegetTax(Personperson){if(personinstanceofEmployee){Employeee=(Employee)person;}},4,17
77,isabelle,/***Computetaxfordifferenttypesofpeople.*/doublegetTaxForPerson(Personp){doubletax=0;if(pinstanceofEmployee){if(p.getSalary()<10000){tax=p.getSalary*0.02;}else{tax=p.getSalary*0.05;}}},2,41
78,isabelle,/***Computetaxfordifferenttypesofpeople.*/doublegetTaxForPerson(Personp){},1,15
79,isabelle,/***Computetaxfordifferenttypesofpeople.*Taxis0forveteransandeveryoneelse.*/doublecomputeTaxForPerson(Personp){doubletax=0;if(pinstanceofEmployee){Employeee=(Employee)p;if(e.getSalary()<10000){tax=e.getSalary*0.02;}else{tax=e.getSalary*0.05;}}elseif(pinstanceofBusinessOwner){BusinessOwnerb=(BusinessOwner)p;tax=b.getProfit*0.1;}returntax;},5,73
80,isabelle,/***Computetaxfordifferenttypesofpeople.*Taxis0forveteransandeveryoneelse.*/doublegetTaxForPerson(Personp){doubletax=0;if(pinstanceofEmployee){Employeee=(Employee)p;if(e.getSalary()<10000){tax=e.getSalary*0.02;}else{tax=e.getSalary*0.05;}}elseif(pinstanceofBusinessOwner){BusinessOwnerb=(BusinessOwner)p;tax=b.getProfit*0.1;}returntax;},6,73
81,isabelle,/***Computetaxfordifferenttypesofpeople.*Taxis0forveteransandeveryoneelse.*/doublegetTaxForPerson(Personp){doubletax=0;if(pinstanceofEmployee){if(p.getSalary()<10000){tax=p.getSalary*0.02;}else{tax=p.getSalary*0.05;}}elseif(pinstanceofBusinessOwner){tax=p.getProfit*0.1;}},1,61
82,isabelle,/***Findthelargestdiffencebetweentheelementsinthearray.*Thismeansfindingtheminandthemaxelementandsubtractingtheminfromthemax.*/intlargestDifference(int[]values){intlargest=a[0];intsmallest=a[0];for(inti=1;i<values.length;i++){if(a[i]>largest){largest=a[i];}if(a[i]<smallest){smallest=a[i];}}returnlargest-smallest;},6,72
83,isabelle,/***Findthelargestdiffencebetweentheelementsinthearray.*Thismeansfindingtheminandthemaxelementandsubtractingtheminfromthemax.*/intlargestDifference(int[]values){intlargest=a[0];intsmallest=a[0];for(inti=1;i<values.length;i++){if(a[i]>largest){largest=a[i];}if(a[i]<smallest){smallest=a[i];}}},2,70
84,isabelle,/***Findthelargestdiffencebetweentheelementsinthearray.*Thismeansfindingtheminandthemaxelementandsubtractingtheminfromthemax.*/intlargestDifference(int[]values){intlargest=a[0];intsmallest=a[0];for(inti=1;i<values.length;i++){}},1,54
85,isabelle,intlargestDifference(int[]a){},1,6
